trust,as_of,table,bucket_lo,bucket_hi,share_receivables,share_accounts,score_type,sample_note,prospectus_accession,prospectus_file,bucket_label
amex,2025-05-31,fico,,559,0.009499346697395925,,FICO,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,Less than 560
amex,2025-05-31,fico,560,659,0.04678368206430979,,FICO,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,560 -659
amex,2025-05-31,fico,660,699,0.0815362246097766,,FICO,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,660 -699
amex,2025-05-31,fico,700,759,0.3034163232070151,,FICO,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,700 -759
amex,2025-05-31,fico,760,,0.5582751370325642,,FICO,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,760 and above
amex,2025-05-31,fico,,,0.0004892863889384185,,FICO,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts; bucket: unscored,0001193125-25-160041,d938411d424b5.htm,Refreshed FICO Unavailable
amex,2025-05-31,credit_limit,,1000,0.0012592068626623982,0.04770095246716801,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"Less than $1,000.99"
amex,2025-05-31,credit_limit,1001,5000,0.015591313951914756,0.10864815264398843,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"$1,001 to $5,000.99"
amex,2025-05-31,credit_limit,5001,10000,0.04168032252548914,0.1912626876586049,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"$5,001 to $10,000.99"
amex,2025-05-31,credit_limit,10001,15000,0.05407109625744093,0.117089666998009,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"$10,001 to $15,000.99"
amex,2025-05-31,credit_limit,15001,20000,0.05696195308903035,0.08354096114359547,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"$15,001 to $20,000.99"
amex,2025-05-31,credit_limit,20001,25000,0.05580064518718662,0.059540072926665966,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"$20,001 to $25,000.99"
amex,2025-05-31,credit_limit,25001,,0.3519015954852899,0.12900660196183666,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,"$25,001 or More(1)"
amex,2025-05-31,credit_limit,,,0.0,2.204376893192355e-07,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts; bucket: other,0001193125-25-160041,d938411d424b5.htm,Other
amex,2025-05-31,credit_limit,,,0.4227338666783029,0.2632106837624422,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts; bucket: no pre-set spending limit (pay over time),0001193125-25-160041,d938411d424b5.htm,No Pre-Set Spending Limit (Pay Over Time)
amex,2025-05-31,account_age,,11,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,Not More than 11 Months
amex,2025-05-31,account_age,12,17,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,12 Months to 17 Months
amex,2025-05-31,account_age,18,23,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,18 Months to 23 Months
amex,2025-05-31,account_age,24,35,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,24 Months to 35 Months
amex,2025-05-31,account_age,36,47,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,36 Months to 47 Months
amex,2025-05-31,account_age,48,59,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,48 Months to 59 Months
amex,2025-05-31,account_age,60,71,0.0,0.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,60 Months to 71 Months
amex,2025-05-31,account_age,72,,1.0,1.0,,FICO refreshed monthly (Standardized Credit Score); buckets 560/660/700/760 do not align with the other trusts,0001193125-25-160041,d938411d424b5.htm,72 Months or More
bofa,2026-04-01,fico,721,,0.7134751855874158,,FICO,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Over 720
bofa,2026-04-01,fico,661,720,0.21751085353646973,,FICO,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,661-720
bofa,2026-04-01,fico,601,660,0.04157033345622744,,FICO,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,601-660
bofa,2026-04-01,fico,,600,0.020577044291123267,,FICO,"single-bureau FICO refreshed within the six months to April 1, 2026",0000929638-26-001790,ba424b5.htm,Less than or equal to 600
bofa,2026-04-01,fico,,,0.006866583128763686,,FICO,"single-bureau FICO refreshed within the six months to April 1, 2026; bucket: unscored",0000929638-26-001790,ba424b5.htm,Unscored
