year,series,gp_chargeoff_rate,gp_chargeoff_rate_ye,n_periods,share_deep_subprime,share_subprime,share_near_prime,share_prime,share_prime_plus,share_superprime,mix_periods,citation_rate,citation_mix
2014,ccip,0.027425,0.0256,12,0.098548,0.050542,0.084765,0.238217,0.395469,0.132459,12 months Jan-Dec 2014,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2015,ccip,0.024958,0.0232,12,0.094661,0.051196,0.087766,0.238106,0.394343,0.133928,12 months Jan-Dec 2015,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2016,ccip,0.027442,0.0303,12,0.093693,0.05236,0.091516,0.240143,0.388805,0.133483,12 months Jan-Dec 2016,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2017,ccip,0.033275,0.0359,12,0.094407,0.05331,0.094197,0.242736,0.381567,0.133783,12 months Jan-Dec 2017,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2018,ccip,0.035875,0.0372,12,0.096796,0.053277,0.09457,0.245277,0.376607,0.133473,12 months Jan-Dec 2018,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2019,ccip,0.036692,0.031,12,0.101035,0.055067,0.096083,0.247053,0.369029,0.131733,12 months Jan-Dec 2019,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2020,ccip,0.035975,0.0251,12,0.113986,0.059857,0.098327,0.248415,0.359253,0.120162,12 months Jan-Dec 2020,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2021,ccip,0.026108,0.0202,12,0.118039,0.059592,0.093726,0.239286,0.358088,0.131269,12 months Jan-Dec 2021,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2022,ccip,0.025733,0.0307,12,0.106161,0.060464,0.099416,0.242134,0.357352,0.134473,12 months Jan-Dec 2022,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2023,ccip,0.039308,0.0475,12,0.106919,0.060883,0.10337,0.248232,0.351301,0.129295,12 months Jan-Dec 2023,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2024,ccip,0.052508,0.0494,12,0.113442,0.06182,0.102918,0.249727,0.346385,0.125708,7 months Jan-Jul 2024,"CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 4 - Pmts, Debt, Coll.', Figure 53 'MONTHLY ANNUALIZED RATE OF BALANCES CHARGED OFF (CCIP)', column 'General purpose'; annual mean of the monthly values, year-end = December","CCMR 2025 workbook cfpb_consumer-credit-card-market-report-figure-data_2025.xlsm, sheet 'Section 2 - Use of credit': Figure 3 'CREDIT CARD CONSUMERS, YEAR-END 2023 (CCIP)' column 'General purpose' (consumers by tier, held fixed for all years) x Figure 16 'MONTHLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCIP)' (annual mean of monthly per-cardholder balance by tier); share = product / sum over tiers"
2013,ccp,0.0435,0.04,4,0.032231,0.035713,0.081017,0.274191,0.445433,0.131415,4 quarters 2013Q1-2013Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2014,ccp,0.04,0.04,4,0.031604,0.035031,0.081332,0.269142,0.44949,0.133401,4 quarters 2014Q1-2014Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2015,ccp,0.0395,0.038,4,0.031983,0.036309,0.083691,0.267466,0.446994,0.133557,4 quarters 2015Q1-2015Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2016,ccp,0.04225,0.046,4,0.034529,0.038311,0.087596,0.267778,0.438141,0.133645,4 quarters 2016Q1-2016Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2017,ccp,0.05125,0.052,4,0.036162,0.039952,0.090566,0.270801,0.428611,0.133908,4 quarters 2017Q1-2017Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2018,ccp,0.058,0.059,4,0.036466,0.040012,0.092111,0.274783,0.423522,0.133106,4 quarters 2018Q1-2018Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2019,ccp,0.06525,0.063,4,0.037426,0.040977,0.094337,0.279189,0.417895,0.130176,4 quarters 2019Q1-2019Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2020,ccp,0.057,0.036,4,0.038208,0.040831,0.094485,0.284866,0.415071,0.126539,4 quarters 2020Q1-2020Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2021,ccp,0.0375,0.029,4,0.034761,0.03803,0.090182,0.278448,0.420701,0.137878,4 quarters 2021Q1-2021Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
2022,ccp,0.04,0.043,4,0.036835,0.041715,0.096275,0.278363,0.410596,0.136216,4 quarters 2022Q1-2022Q4,"CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx, sheet 'Section 3 - Use of credit', Figure 18 'QUARTERLY ANNUALIZED RATE OF GROSS OUTSTANDING BALANCES CHARGED OFF (CCP)', column 'General purpose'; annual mean of the quarterly values, year-end = Q4","CCMR 2023 workbook cfpb_consumer-credit-card-market-report-figure-data_2023.xlsx: sheet 'Section 5 - Avail of Credit' Figure 17 'CREDIT CARD ACCOUNTS, YEAR-END 2022 (CCP)' row 'General purpose' x sheet 'Section 3 - Use of credit' Figure 7 'AVERAGE PER-ACCOUNT CYCLE-ENDING BALANCES, END OF YEAR 2022 (CCP)' row 'General purpose' (= general-purpose balances by tier at year-end 2022), scaled by Figure 5 'QUARTERLY AVERAGE PER-CARDHOLDER CYCLE-ENDING BALANCES (CCP)' annual mean / 2022Q4 value by tier; share = product / sum over tiers"
