deal,lender,cik,doc_prefix,name,depositor_cik,notes
sdart-2026-1,santander,0001383094,sdart261,Santander Drive Auto Receivables Trust 2026-1,0001383094,"depositor-filed shelf (Santander Drive Auto Receivables LLC); trust CIK 0002105961; offering-pool variants lp/sp 0001193125-26-045549 / -045529 for period 2026-01-31 (scout-autos 2); 424B5 0001193125-26-061442 not yet read"
sdart-2025-1,santander,0001383094,sdart251,Santander Drive Auto Receivables Trust 2025-1,0001383094,"depositor-filed; trust CIK 0002049903; filings before 2025-04-15 sit on the older submissions page CIK0001383094-submissions-001.json (scout-autos 1b)"
carmax-2026-2,carmax,0002117307,,CarMax Auto Owner Trust 2026-2,,"self-filed trust; pre-closing pool filings are under CarMax Business Services 0001259380 and are not fetched (scout-autos 2); 424B5 0001193125-26-173162 read (scout-autos 8)"
carmax-2025-1,carmax,0002049715,,CarMax Auto Owner Trust 2025-1,,self-filed trust (scout-autos 1a)
copar-2025-1,capone,0001133438,copart251,Capital One Prime Auto Receivables Trust 2025-1,0001133438,"depositor-filed shelf (Capital One Auto Receivables LLC); PTI reported in percent, divided by 100 (scout-autos 6.1)"
exeter-2025-5,exeter,0002092528,,Exeter Automobile Receivables Trust 2025-5,,"self-filed via filer agent 0000929638; score is VantageScore for 98.9% of the pool; pools since 2025-4 exclude bureau >= 640 and proprietary >= 240 (scout-autos 8)"
exeter-2025-1,exeter,,,Exeter Automobile Receivables Trust 2025-1,,"cik blank: resolved on the runner by exact-phrase full-text search on the name (fetch.resolve_deal); the R3 search entity list shows 0002049379 (scout-autos 1a), to be confirmed by that search"
amcar-2024-1,americredit,0002020251,,AmeriCredit Automobile Receivables Trust 2024-1,,"self-filed trust; newest public AMCAR deal; score type ""None"" with a non-numeric value means no score (scout-autos 6.3); July 2026 charge-off spike unexplained (5b)"
toyota-2025-a,toyota,0002047571,,Toyota Auto Receivables 2025-A Owner Trust,,"trust CIK files its own ABS-EE (R2 submissions_0002047571.json); drops payoffs the month after (scout-autos 5b); 424B5 0000929638-25-000276 read (8)"
honda-2025-1,honda,,harot251,Honda Auto Receivables 2025-1 Owner Trust,0000890975,"depositor-filed shelf (American Honda Receivables LLC); trust CIK 0002052479; doc_prefix discovered from the R3 full-text hit 0001193125-26-374999 whose primary document is harot251abseea_0828-1757.htm (ABS-EE/A for period 2026-07-31); fetch.resolve_deal derives it the same way when blank; amendments are preferred per period (scout-autos 6.11)"
