lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,360,0,0,0,0.0,,,0.0,1,64.0
americredit,380,2,0,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
americredit,400,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,420,16,0,0,0.21274509803921568,0.04151785714285714,0.3884958798511431,0.2279411764705883,33,16.0
americredit,440,80,0,1,0.0861209118713967,0.03628221759157889,0.15217296106015377,0.09523809523809523,185,21.0
americredit,460,389,1,3,0.1249359225690327,0.0956171508797148,0.15417091005028433,0.13540350110051236,734,9.0
americredit,480,1221,5,6,0.12124872353573371,0.10413661820963238,0.1387495923681049,0.13583300877785276,2295,9.0
americredit,500,2573,27,21,0.12032921319022505,0.10681492682757758,0.13006674287957184,0.13369580215438115,4581,9.0
americredit,520,3730,35,41,0.11512892595502475,0.10612598732629921,0.12503421610202303,0.13034251235433492,6542,9.0
americredit,540,4738,49,51,0.12037559090668823,0.11271297323554737,0.12920018512280218,0.1356033468768263,8393,8.0
americredit,560,5074,44,65,0.10074059702508979,0.09445136404452015,0.1082880806028076,0.11562674230978154,9225,9.0
americredit,580,5182,33,64,0.09189394981858892,0.08449695420466564,0.09914262908809983,0.10822624683045168,9357,9.0
americredit,600,5176,39,80,0.07956069116921242,0.07300868163860459,0.08571524270472923,0.09713754304408018,9532,9.0
americredit,620,8670,47,114,0.058906561528625466,0.053758168367061744,0.06299788431364255,0.07151620126641889,15169,8.0
americredit,640,1484,13,18,0.09145823150064443,0.0768067626159201,0.1057612583655846,0.10574641804106433,2643,8.0
americredit,660,1074,11,9,0.0793616935224593,0.06419258047928483,0.09507075131859224,0.10071173106658171,1872,8.0
americredit,680,480,7,11,0.11027746077473996,0.06112447446896026,0.1396555852688628,0.1495834502351151,787,7.0
americredit,700,239,3,3,0.1417719753190221,0.10807152531905855,0.17300635269161882,0.17149838185680266,408,7.0
americredit,720,144,0,2,0.09815372936554463,0.058383468218689435,0.14632962511802444,0.12410494173932318,254,9.0
americredit,740,61,0,1,0.11211538354882292,0.04539946535721727,0.19739335876575498,0.13527196785115336,95,8.0
americredit,760,22,0,0,0.11730205278592376,0.0276472305797819,0.21899553571428576,0.13817284905934124,38,9.0
americredit,780,8,0,0,0.125,0.0,0.4007142857142859,0.125,11,10.0
americredit,820,2,0,0,0.0,0.0,0.0,0.0,2,10.0
