lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,380,1,0,0,0.0,,,0.0,1,3.0
americredit,400,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,420,9,0,0,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,440,42,0,0,0.09090909090909091,0.03590909090909092,0.16363636363636364,0.10011131725417444,55,4.0
americredit,460,190,1,0,0.14144522144522145,0.09938966502006794,0.18801621510673247,0.15297153689464482,261,4.0
americredit,480,565,0,5,0.12348748814286159,0.09871863129495946,0.14488040171875421,0.13761900503621716,783,4.0
americredit,500,1167,13,9,0.12682124721084811,0.11134255713745377,0.14469280941591686,0.13921158641455267,1589,4.0
americredit,520,1772,18,23,0.12557446479593204,0.11157621197520894,0.1391748808440215,0.14047662266433802,2407,4.0
americredit,540,2184,20,17,0.1302850366429707,0.11893014791259512,0.14314697008760935,0.14647696278132882,3080,4.0
americredit,560,2260,21,26,0.11036749126089629,0.10051870600695477,0.12120368100744441,0.1266301653188452,3256,4.0
americredit,580,2250,14,26,0.10271328553360032,0.09280562631446068,0.11553919889409066,0.12089419927998468,3252,4.0
americredit,600,2171,18,33,0.08895636621805864,0.0799758678587748,0.09862297945409118,0.10878686979676355,3259,4.0
americredit,620,3756,21,47,0.06584958423976536,0.0598495300691865,0.07252324393099323,0.08001447217180169,5447,4.0
americredit,640,659,6,10,0.10688068869266992,0.08712061796564284,0.12371192073576215,0.12355773079567178,968,4.0
americredit,660,487,7,5,0.09011903943717138,0.06967694535989018,0.10811985270517023,0.11450219761383384,728,4.0
americredit,680,205,4,4,0.13691718031372274,0.08452885879482648,0.18211575166204505,0.18783490006731274,331,4.0
americredit,700,117,2,3,0.15034902452120993,0.09677083578783667,0.19869860847564833,0.1839423564549385,186,4.0
americredit,720,47,0,1,0.09535972754363559,0.036585365853658534,0.1553971063904188,0.1185487776859514,82,4.0
americredit,740,19,0,1,0.15804597701149425,0.031549484997760856,0.30025862068965525,0.18518518518518512,30,4.0
americredit,760,7,0,0,0.2797202797202797,0.07051282051282051,0.5,0.33916083916083917,14,4.0
americredit,780,3,0,0,0.0,0.0,0.0,0.0,3,5.0
americredit,none,101,0,2,0.10977229716614906,0.06706313212456876,0.16355409291963072,0.12790449160930517,163,4.0
carmax,640,281,1,9,0.03801510642596187,0.029245697932026003,0.047580993846387754,0.04596583145307065,3740,3.0
carmax,660,686,0,7,0.029038419354283505,0.02442608027087225,0.03565607831208339,0.03527056929144168,7819,3.0
carmax,680,731,0,10,0.01657211847255297,0.01242062262819364,0.019750550886817025,0.020196434617942738,8332,3.0
carmax,700,741,1,6,0.017972155618733728,0.014090713608863189,0.022016727947859208,0.022093127076381447,8785,3.0
carmax,720,810,2,11,0.008021058938746963,0.004589585833792253,0.011359468089546196,0.010249338146960274,9328,3.0
carmax,740,810,1,17,0.007982600219030155,0.005478446832478045,0.011080719843015447,0.009924578388701422,9582,3.0
carmax,760,846,0,17,0.004557354882529207,0.0029905532554099818,0.006697430444082396,0.005550557661261224,9944,3.0
carmax,780,846,0,18,0.0023783661966807913,0.0009264131203405652,0.004190558322592631,0.0030175441302163764,9764,3.0
