lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,360,0,0,0,0,0.0,,,0.0,1,64.0
americredit,360,1,0,0,0,0.0,,,0.0,1,64.0
americredit,360,2,0,0,0,0.0,,,0.0,1,64.0
americredit,360,3,0,0,0,0.0,,,0.0,1,64.0
americredit,360,4,0,0,0,0.0,,,0.0,1,64.0
americredit,360,5,0,0,0,0.0,,,0.0,1,64.0
americredit,360,6,0,0,0,0.0,,,0.0,1,64.0
americredit,360,7,0,0,0,0.0,,,0.0,1,64.0
americredit,360,8,0,0,0,0.0,,,0.0,1,64.0
americredit,360,9,0,0,0,0.0,,,0.0,1,64.0
americredit,360,10,0,0,0,0.0,,,0.0,1,64.0
americredit,360,11,0,0,0,0.0,,,0.0,1,64.0
americredit,360,12,0,0,0,0.0,,,0.0,1,64.0
americredit,360,13,0,0,0,0.0,,,0.0,1,64.0
americredit,360,14,0,0,0,0.0,,,0.0,1,64.0
americredit,360,15,0,0,0,0.0,,,0.0,1,64.0
americredit,360,16,0,0,0,0.0,,,0.0,1,64.0
americredit,360,17,0,0,0,0.0,,,0.0,1,64.0
americredit,360,18,0,0,0,0.0,,,0.0,1,64.0
americredit,360,19,0,0,0,0.0,,,0.0,1,64.0
americredit,360,20,0,0,0,0.0,,,0.0,1,64.0
americredit,360,21,0,0,0,0.0,,,0.0,1,64.0
americredit,360,22,0,0,0,0.0,,,0.0,1,64.0
americredit,360,23,0,0,0,0.0,,,0.0,1,64.0
americredit,360,24,0,0,0,0.0,,,0.0,1,64.0
americredit,360,25,0,0,0,0.0,,,0.0,1,64.0
americredit,360,26,0,0,0,0.0,,,0.0,1,64.0
americredit,360,27,0,0,0,0.0,,,0.0,1,64.0
americredit,360,28,0,0,0,0.0,,,0.0,1,64.0
americredit,360,29,0,0,0,0.0,,,0.0,1,64.0
americredit,360,30,0,0,0,0.0,,,0.0,1,64.0
americredit,360,31,0,0,0,0.0,,,0.0,1,64.0
americredit,360,32,0,0,0,0.0,,,0.0,1,64.0
americredit,360,33,0,0,0,0.0,,,0.0,1,64.0
americredit,360,34,0,0,0,0.0,,,0.0,1,64.0
americredit,360,35,0,0,0,0.0,,,0.0,1,64.0
americredit,360,36,0,0,0,0.0,,,0.0,1,64.0
americredit,380,0,0,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,1,0,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,2,0,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,3,1,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,4,1,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,5,1,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,6,1,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,7,1,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,8,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,9,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,10,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,11,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,12,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,13,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,14,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,15,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,380,16,3,1,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
americredit,380,17,2,0,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
americredit,380,18,2,0,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
americredit,380,19,2,0,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
americredit,380,20,2,0,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
americredit,380,21,2,0,0,0.3333333333333333,0.0,1.0,0.33333333333333326,4,8.0
