lender,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,0,0,0,0,0.0,0.0,0.0,0.0,72665,9.0
americredit,1,0,0,0,0.0,0.0,0.0,0.0,72665,9.0
americredit,2,816,0,9,0.0,0.0,0.0,0.0,72665,9.0
americredit,3,8345,0,75,0.0,0.0,0.0,0.0,72665,9.0
americredit,4,14847,10,134,0.0006601214363504659,0.00026497082721303516,0.001178761727768256,0.0006735367414292259,72665,9.0
americredit,5,20483,30,181,0.002081656193758204,0.001501136915247534,0.0027887390410688503,0.002137179464553607,72665,9.0
americredit,6,25471,73,268,0.0048346782449253944,0.003967168701470552,0.005616682487635356,0.004997058774321106,72665,9.0
americredit,7,30089,105,333,0.008141881321147355,0.006962516814287816,0.009326407084649792,0.00846926818070537,72665,9.0
americredit,8,35028,120,414,0.011341342271996712,0.010106135631506613,0.012675416233985522,0.011866084665184018,72665,9.0
americredit,9,40154,175,484,0.015349532833492163,0.013811501405804767,0.0167166010323513,0.016172590497320116,72665,9.0
americredit,10,44332,167,467,0.01875715611751607,0.017184258659474504,0.02016770599088545,0.019878698441625486,72665,9.0
americredit,11,44936,213,531,0.02298366570860236,0.021437231591646747,0.024360363632434764,0.0245245466976326,72665,9.0
americredit,12,44726,222,543,0.027336166184692808,0.025574980231532162,0.028973854782525097,0.029366373613366803,72665,9.0
americredit,13,44574,236,593,0.03189951650459219,0.029897538830735843,0.03353158999699488,0.034505457739252954,72665,9.0
americredit,14,44511,285,541,0.03731550504208945,0.0352005460958634,0.03915344975839744,0.040687433982076304,72665,9.0
americredit,15,44227,292,573,0.04279651494388285,0.04070702223755194,0.044619060692177685,0.047021105026398335,72665,9.0
americredit,16,43883,277,523,0.04793423574249098,0.04586014092331047,0.049783765808161115,0.053036535920085726,72665,9.0
americredit,17,43451,305,583,0.053543381566968175,0.05122684571839238,0.05554108861271338,0.05968365236261575,72665,9.0
americredit,18,42888,293,521,0.05889100661261328,0.05675621966641405,0.061166892463298574,0.06610765650964412,72665,9.0
americredit,19,42488,309,560,0.06447569984032375,0.06223537499431931,0.06693680200790841,0.07289952089814244,72665,9.0
americredit,20,42039,300,556,0.06984356207837228,0.06748513876420308,0.07250192811851365,0.07951552374622539,72665,9.0
americredit,21,41644,327,554,0.07562976155246248,0.07312925685493973,0.07836827251235826,0.0867434178902794,72665,9.0
americredit,22,41207,323,507,0.08128359892707168,0.07874693949588439,0.08409111268454868,0.09390195590618544,72665,9.0
americredit,23,40927,349,491,0.0873104485216518,0.08503610161987742,0.08988918300934544,0.10162859644638489,72665,9.0
americredit,24,40619,314,495,0.09266186686894175,0.09050396597613808,0.09520092930508389,0.10857334202642965,72665,9.0
americredit,25,40240,345,511,0.09847877970086236,0.0959817292964526,0.10105037848650525,0.116216040759056,72665,9.0
americredit,26,39608,326,465,0.10394425543267102,0.1014186747795679,0.10667870241325328,0.12349016645872646,72665,9.0
americredit,27,38955,337,486,0.10957413403172349,0.10695943280086057,0.11257441179424231,0.13107285966636117,72665,9.0
americredit,28,38242,356,521,0.11550431728784086,0.1127883188920553,0.11874655938739961,0.13916182106897546,72665,9.0
americredit,29,36976,350,471,0.12139588968932029,0.11862807986408125,0.12451847902681808,0.14731017033947136,72665,9.0
americredit,30,31858,277,441,0.1266875602855025,0.12395962613436395,0.13007880882964756,0.15472416628447627,72665,9.0
americredit,31,27383,239,404,0.13187972564584716,0.12886900406327442,0.13520704674025583,0.16210177006266013,72665,9.0
americredit,32,23404,240,317,0.13783680204171198,0.1350512819327757,0.1413261754168343,0.1706941292826637,72665,9.0
americredit,33,19954,173,267,0.14275342885087805,0.1399670337107052,0.1462742622389708,0.1778841621399404,72665,9.0
americredit,34,16837,136,221,0.14723305363655792,0.14439081183827965,0.15063878699966812,0.1845247604620267,72665,9.0
