lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,380,0,0,0,0,0.0,,,0.0,1,3.0
americredit,380,1,0,0,0,0.0,,,0.0,1,3.0
americredit,380,2,0,0,0,0.0,,,0.0,1,3.0
americredit,380,3,1,0,0,0.0,,,0.0,1,3.0
americredit,380,4,1,0,0,0.0,,,0.0,1,3.0
americredit,380,5,1,0,0,0.0,,,0.0,1,3.0
americredit,380,6,1,0,0,0.0,,,0.0,1,3.0
americredit,380,7,1,0,0,0.0,,,0.0,1,3.0
americredit,380,8,1,0,0,0.0,,,0.0,1,3.0
americredit,380,9,1,0,0,0.0,,,0.0,1,3.0
americredit,380,10,1,0,0,0.0,,,0.0,1,3.0
americredit,380,11,1,0,0,0.0,,,0.0,1,3.0
americredit,380,12,1,0,0,0.0,,,0.0,1,3.0
americredit,380,13,1,0,0,0.0,,,0.0,1,3.0
americredit,380,14,1,0,0,0.0,,,0.0,1,3.0
americredit,380,15,1,0,0,0.0,,,0.0,1,3.0
americredit,380,16,1,0,0,0.0,,,0.0,1,3.0
americredit,380,17,1,0,0,0.0,,,0.0,1,3.0
americredit,380,18,1,0,0,0.0,,,0.0,1,3.0
americredit,380,19,1,0,0,0.0,,,0.0,1,3.0
americredit,380,20,1,0,0,0.0,,,0.0,1,3.0
americredit,380,21,1,0,0,0.0,,,0.0,1,3.0
americredit,380,22,1,0,0,0.0,,,0.0,1,3.0
americredit,380,23,1,0,0,0.0,,,0.0,1,3.0
americredit,380,24,1,0,0,0.0,,,0.0,1,3.0
americredit,380,25,1,0,0,0.0,,,0.0,1,3.0
americredit,380,26,1,0,0,0.0,,,0.0,1,3.0
americredit,380,27,1,0,0,0.0,,,0.0,1,3.0
americredit,380,28,1,0,0,0.0,,,0.0,1,3.0
americredit,380,29,1,0,0,0.0,,,0.0,1,3.0
americredit,380,30,0,0,0,0.0,,,0.0,1,3.0
americredit,380,31,0,0,0,0.0,,,0.0,1,3.0
americredit,380,32,0,0,0,0.0,,,0.0,1,3.0
americredit,380,33,0,0,0,0.0,,,0.0,1,3.0
americredit,380,34,0,0,0,0.0,,,0.0,1,3.0
americredit,380,35,0,0,0,0.0,,,0.0,1,3.0
americredit,380,36,0,0,0,0.0,,,0.0,1,3.0
americredit,400,0,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,1,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,2,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,3,2,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,4,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,5,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,6,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,7,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,8,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,9,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,10,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,11,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,12,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,13,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,14,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,15,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,16,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,17,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,18,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,19,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,20,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,21,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,22,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,23,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,24,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,25,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,26,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,27,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,28,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,29,3,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,30,1,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,31,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,32,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,33,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,34,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,35,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,400,36,0,0,0,0.0,0.0,0.0,0.0,3,3.0
americredit,420,0,0,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,1,0,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,2,1,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,3,4,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,4,6,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,5,11,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,6,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,7,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,8,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,9,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,10,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,11,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,12,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,13,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,14,12,0,0,0.0,0.0,0.0,0.0,12,4.5
americredit,420,15,12,1,0,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333337,12,4.5
americredit,420,16,11,1,0,0.16666666666666666,0.0,0.41666666666666663,0.16666666666666674,12,4.5
americredit,420,17,10,0,0,0.16666666666666666,0.0,0.41666666666666663,0.16666666666666674,12,4.5
americredit,420,18,10,0,0,0.16666666666666666,0.0,0.41666666666666663,0.16666666666666674,12,4.5
americredit,420,19,10,0,0,0.16666666666666666,0.0,0.41666666666666663,0.16666666666666674,12,4.5
americredit,420,20,10,0,0,0.16666666666666666,0.0,0.41666666666666663,0.16666666666666674,12,4.5
americredit,420,21,10,0,0,0.16666666666666666,0.0,0.41666666666666663,0.16666666666666674,12,4.5
americredit,420,22,10,1,0,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,420,23,9,0,0,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,420,24,9,0,0,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,420,25,9,0,1,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,420,26,8,0,0,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,420,27,8,0,0,0.25,0.08333333333333333,0.5,0.25,12,4.5
americredit,420,28,8,1,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,29,6,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,30,5,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,31,4,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,32,1,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,33,0,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,34,0,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,35,0,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,420,36,0,0,0,0.3333333333333333,0.16666666666666663,0.6666666666666666,0.34375,12,4.5
americredit,440,0,0,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,1,0,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,2,1,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,3,22,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,4,35,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,5,43,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,6,55,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,7,55,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,8,55,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,9,55,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,10,55,0,0,0.0,0.0,0.0,0.0,55,4.0
americredit,440,11,55,1,1,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,12,53,0,0,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,13,53,0,0,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,14,53,0,0,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,15,53,0,2,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,16,51,0,1,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,17,50,0,1,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,18,49,0,0,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,19,49,0,0,0.01818181818181818,0.0,0.07272727272727272,0.018181818181818188,55,4.0
americredit,440,20,49,2,1,0.05454545454545454,0.0,0.10909090909090909,0.058256029684601196,55,4.0
americredit,440,21,46,0,1,0.05454545454545454,0.0,0.10909090909090909,0.058256029684601196,55,4.0
