lender,var,cutoff,left,right,jump,se,t,n_left,n_right,stable_across_bandwidths,flag,known_selection
americredit,orig_apr,485,0.17947958293184965,0.17456508728245762,-0.004914495649392031,0.0013621416127218605,-3.607918298283084,1187,3933,False,False,False
americredit,orig_apr,490,0.17672345843278195,0.17529287292525086,-0.0014305855075310847,0.0011829699863768282,-1.2093168246073998,1585,4764,False,False,False
americredit,orig_apr,495,0.17450769716263395,0.17820321415612117,0.003695516993487219,0.0010601043268214766,3.485993689477272,2061,5318,True,False,False
americredit,orig_apr,500,0.17653197103746665,0.17891331735170501,0.002381346314238364,0.0009567394217122487,2.489022883552282,2671,6059,False,False,False
americredit,orig_apr,505,0.17986465737270696,0.17662321745999823,-0.0032414399127087268,0.0008701733481017917,-3.7250507841680616,3266,6698,True,False,False
americredit,orig_apr,510,0.17705853209745068,0.17679377571276403,-0.0002647563846866485,0.0008074338784712909,-0.32789853354668497,3933,7328,False,False,False
americredit,orig_apr,515,0.17726449385952928,0.17457870612725634,-0.0026857877322729318,0.0007467199705479956,-3.5967803704270986,4764,7704,True,False,False
americredit,orig_apr,520,0.1747504693981067,0.17605884582652676,0.0013083764284200494,0.0007075518894924506,1.8491596840460554,5318,8546,False,False,False
americredit,orig_apr,525,0.1748849899639417,0.17682106727298347,0.0019360773090417727,0.0006750097740588946,2.8682211479694066,6059,9124,True,False,False
americredit,orig_apr,530,0.17644687448824764,0.176821370932457,0.0003744964442093657,0.0006503651167698033,0.5758249244199833,6698,9496,False,False,False
americredit,orig_apr,535,0.1761922949012429,0.17766133061601308,0.0014690357147701671,0.0006237945502227386,2.3549992769985213,7328,10097,True,False,False
americredit,orig_apr,540,0.1773158136960278,0.17649171851261403,-0.0008240951834137811,0.00060942964486318,-1.352240066363681,7704,10590,False,False,False
americredit,orig_apr,545,0.17645690718134815,0.17627049615420703,-0.00018641102714112012,0.0005909263211960416,-0.31545561680823775,8546,10778,False,False,False
americredit,orig_apr,550,0.1755255641229984,0.1752776458701551,-0.0002479182528433155,0.0005766314085313196,-0.4299423326154975,9124,11171,False,False,False
americredit,orig_apr,555,0.1740102588979339,0.17481322787281833,0.0008029689748844382,0.000568351979322694,1.41280228467109,9496,11576,False,False,False
americredit,orig_apr,560,0.17365177111560265,0.17239188730387264,-0.001259883811730006,0.0005624490239309206,-2.2399964407881052,10097,11491,True,False,False
americredit,orig_apr,565,0.17092091027077602,0.1710596307862897,0.00013872051551366837,0.0005544951184667244,0.25017445761696655,10590,11718,False,False,False
americredit,orig_apr,570,0.16937732926402516,0.16901902668265634,-0.000358302581368819,0.0005501826316176633,-0.6512429887423511,10778,11980,False,False,False
americredit,orig_apr,575,0.1672094115600648,0.1678523937226146,0.0006429821625497933,0.0005476020312422584,1.1741778259864397,11171,11744,False,False,False
americredit,orig_apr,580,0.16649704041458208,0.16727893454859363,0.000781894134011557,0.0005433637355486308,1.4389884397089614,11576,11693,False,False,False
americredit,orig_apr,585,0.16615497745733931,0.1658360044811338,-0.000318972976205506,0.0005423499703753569,-0.58813126879079,11491,11921,False,False,False
americredit,orig_apr,590,0.16411355054036358,0.16592472296975477,0.001811172429391189,0.0005429279773363826,3.3359349766369446,11718,11791,True,False,False
americredit,orig_apr,595,0.16401804033721137,0.1626533810101544,-0.001364659327056983,0.0005442183289675439,-2.507558555857402,11980,11745,False,False,False
americredit,orig_apr,600,0.1612008672531566,0.16253161496042304,0.001330747707266433,0.0005309723153835229,2.5062468771186874,11744,13467,False,False,False
americredit,orig_apr,605,0.1590711974997998,0.16308730772536742,0.0040161102255676095,0.0005228196618537308,7.681635788768779,11693,14583,True,False,False
americredit,orig_apr,610,0.158497958682614,0.15950515136538496,0.0010071926827709687,0.000507022637184001,1.9864846436934405,11921,16082,False,False,False
americredit,orig_apr,615,0.1557208108264221,0.152933039996983,-0.0027877708294391235,0.0004971564401952997,-5.6074317941933804,11791,17577,False,False,False
americredit,orig_apr,620,0.15457776123975844,0.1407436711827646,-0.013834090056993847,0.0005022399252846353,-27.544783599499045,11745,15847,True,True,False
americredit,orig_apr,625,0.13894307734313946,0.13734399380549106,-0.0015990835376483992,0.0004975436259593768,-3.213956433599172,13467,12644,False,False,False
americredit,orig_apr,630,0.1342781750335344,0.13423692643154547,-4.124860198892466e-05,0.0005198086414465302,-0.07935343643795055,14583,9887,False,False,False
