lender,cutoff,density_method,density_t,density_p,fs_orig_apr,fs_orig_apr_se,fs_orig_amount,fs_orig_amount_se,co12_effect,co12_se,co12_n,co24_effect,co24_se,co24_n
americredit,620.0,rddensity-jackknife,11.032652227871223,0.0,-0.01297823696739886,0.0014846175093196818,1435.5879322108813,320.7364044800563,-0.005651577276608498,0.006163540648400351,25747,-0.000955584031937462,0.012228490258240141,25747
americredit,660.0,rddensity-jackknife,0.5840197479565512,0.5592070258520039,-0.006692549447057133,0.002854779442793574,220.31347227282095,787.5539075162168,-0.02112712371283028,0.013094687960892156,25747,0.038421145185914996,0.029875146360855975,25747
americredit,680.0,rddensity-jackknife,-2.151122937790731,0.031466497467107724,0.01132729996937512,0.003686405703197673,-2497.446089788231,1084.7688227078693,-0.004022378587963241,0.022033087629961555,25747,0.060632282283788225,0.03611564677899753,25747
carmax,750.0,rddensity-jackknife,2.9062171997449853,0.0036582741642370298,-0.0063012338142404145,0.0005875588865224087,833.2175289799125,255.2678240374416,-0.0021184640622656367,0.0022575488499657595,52668,-0.009021362342315972,0.006980450488257006,25076
exeter,620.0,rddensity-jackknife,4.39291588473245,1.1184040758838165e-05,-0.011156145367406167,0.0010358199289649615,1368.3719930468287,152.57757756416433,0.007212957243483822,0.005326705310581091,79303,0.0008415761255089471,0.016521981262343305,27374
exeter,700.0,rddensity-jackknife,-2.734812785383675,0.006241576399997006,0.00732046282622878,0.002401549665825065,220.66722524550278,523.2232823655686,0.019864883428130767,0.012516030324294183,79303,0.013792339719718494,0.04548464684338439,27374
honda,700.0,rddensity-jackknife,-0.5274464060909083,0.5978836246673176,0.002211388863896907,0.0005615634621604631,2584.0185729575096,291.3170075850481,0.00037698317624535946,0.001918698329072122,24590,0.022064249057070755,0.00939824558977666,13921
honda,660.0,rddensity-jackknife,0.36816646984410933,0.7127491102986772,-0.006275825236047819,0.0009941080688536282,1051.39064497839,567.7320646675884,-0.0014472323337998312,0.004343261280095764,24590,-0.011328945946835374,0.02200167007506116,13921
honda,605.0,rddensity-jackknife,-1.9334119583507103,0.05318546928302248,-0.010481297427546776,0.003043681998815729,1121.4520073943713,890.6136499067308,0.06057937760222227,0.030780701303113413,24590,0.13456677958035262,0.0700373888409058,13921
honda,625.0,rddensity-jackknife,-0.8120860951873783,0.41674223125704923,0.003316883250506761,0.0017028506192501545,-1221.5161186142723,650.2865165233483,-0.005025574304003605,0.010861600613549497,24590,-0.00027285554457548433,0.03786957512333853,13921
santander,500.0,rddensity-jackknife,0.10636918659496561,0.9152894398858351,0.01239451007251785,0.0020156673280672245,-695.5256337257888,373.6604791875374,0.010460735622340206,0.01733096886522896,59950,-0.04387637902446251,0.047868994875790015,24308
santander,680.0,rddensity-jackknife,-0.8487676572995511,0.396010590329539,0.007400025270505178,0.0017730807085504722,-379.2318420677111,327.19655043518617,0.006123391942788214,0.01155722863145846,59950,0.029635624742850086,0.03117919491321225,24308
santander,725.0,rddensity-jackknife,0.9090673219980878,0.3633145905788058,0.010593530501304127,0.002757939076892917,-509.94261050111527,501.0205348429614,0.010241877723427203,0.012915094505946587,59950,-0.020008775036415294,0.04666779294055472,24308
santander,700.0,rddensity-jackknife,-2.6640541046195185,0.007720514412314694,-0.007319880322864375,0.002495123857646014,675.5589665289881,464.5070094228058,-0.016245493313535767,0.011168280332816496,59950,-0.04652581206027889,0.03603788716372498,24308
toyota,690.0,rddensity-jackknife,7.809922800507994,5.773159728050814e-15,-0.00895839634362973,0.0013429416193520157,-631.6231172618427,608.8334141653912,0.0,0.0,3028,0.052228768989356376,0.04318182392971364,3028
toyota,650.0,rddensity-jackknife,5.076164708769605,3.851294743117961e-07,-0.0112166175555507,0.003030400507936933,-719.8706693602799,1176.8783346887649,0.0,0.0,3028,0.028608258624312696,0.01899462992850803,3028
