deal,lender,n_loans,first_period,last_period,months_observed_median,entry_age_median,entry_age_p90,exit_age_max,share_chargeoff,share_prepay,share_repurchase,share_absent,share_censored,score_missing_share,score_median,score_type,pti_median,apr_median,amount_median
amcar-2024-1,americredit,72665,2024-05-31,2026-07-31,26.0,9.0,65.0,108,0.1314250326842359,0.3928576343494117,8.25707011628707e-05,0.0,0.4756347622651896,0.0067707974953553985,588.0,"Credit Bureau Score,None",0.0949,0.162,25146.85
carmax-2025-1,carmax,82495,2025-01-31,2026-07-31,19.0,5.0,54.0,87,0.008291411600703073,0.42322565003939633,0.0,0.0,0.5684829383599006,0.0,756.0,Bureau,0.0567,0.0774,21534.81
carmax-2026-2,carmax,52812,2026-04-30,2026-07-31,4.0,3.0,7.0,83,0.0007005983488601076,0.06284556540180262,0.0,0.0,0.9364538362493373,0.0,763.0,Bureau,0.051,0.0724,22168.95
copar-2025-1,capone,72469,2025-10-31,2026-07-31,10.0,13.0,18.0,28,0.0030771778277608355,0.1839269204763416,0.0,0.0,0.8129959016958975,0.0,793.0,FICO,0.0495,0.0735,23300.11
exeter-2025-1,exeter,65321,2025-01-31,2026-07-31,19.0,3.0,5.0,91,0.14713491832641876,0.19404173236784494,0.0034598368059276497,0.0,0.6553635124998086,0.011986956721421901,599.0,Consumer Credit Bureau,0.0996,0.2216,22059.0
exeter-2025-5,exeter,55432,2025-12-31,2026-07-31,8.0,3.0,8.0,87,0.060542646846586806,0.0907959301486506,0.002417376244768365,0.0,0.8462440467599942,0.013475970558522152,585.0,Consumer Credit Bureau,0.0936,0.219,23111.870000000003
honda-2025-1,honda,104073,2025-02-28,2026-07-31,18.0,10.0,43.0,85,0.005870879094481758,0.3342461541418043,0.0,0.0,0.6598829667637139,0.0,775.0,Credit Bureau,0.07104038,0.049,30206.48
sdart-2025-1,santander,99060,2025-01-31,2026-07-31,19.0,3.0,55.0,88,0.10845951948314153,0.32763981425398747,0.006975570361397133,0.0005653139511407228,0.5563597819503331,0.140117100747022,600.0,Bureau,0.09990641,0.18,24865.16
sdart-2026-1,santander,86349,2026-02-28,2026-07-31,6.0,3.0,57.0,78,0.011661976398105364,0.11027342528575895,0.008836234351295325,6.948546016745995e-05,0.8691588785046729,0.16894231548715097,603.0,Bureau,0.1005875,0.18,25147.86
toyota-2025-a,toyota,69132,2025-01-31,2026-07-31,19.0,13.0,30.0,77,0.008389747150378985,0.34392177284036335,0.0005352080078690042,0.0,0.6471532720013886,0.0,775.0,FICO Score 8 Auto,0.0785,0.0549,34915.16
