shape_source,trust,mean_residual,mean_actual,mean_predicted,n_months,rank
acms2018,synchrony,0.010880484731507774,0.049595358695652174,0.0387148739641444,92,1
acms2018,comet,-0.00518777635049516,0.029882222222222223,0.03506999857271738,90,2
acms2018,bofa,-0.006036996710387621,0.026965957446808513,0.03300295415719613,94,3
acms2018,chase,-0.011083338130262091,0.020543478260869562,0.03162681639113166,92,4
acms2018,citi,-0.01149362904017056,0.021656382978723403,0.03315001201889396,94,5
acms2018,amex,-0.0137740583116132,0.018354478260869566,0.03212853657248276,92,6
acms2018_dpd90,synchrony,0.011169551314492222,0.049595358695652174,0.03842580738115995,92,1
acms2018_dpd90,comet,-0.003440585728222426,0.029882222222222223,0.03332280795044465,90,2
acms2018_dpd90,bofa,-0.003505249577328111,0.026965957446808513,0.030471207024136623,94,3
acms2018_dpd90,chase,-0.008078930585573093,0.020543478260869562,0.02862240884644266,92,4
acms2018_dpd90,citi,-0.009005472491705791,0.021656382978723403,0.030661855470429197,94,5
acms2018_dpd90,amex,-0.010934734085926953,0.018354478260869566,0.029289212346796517,92,6
fico_fed2007,synchrony,0.017470765498304282,0.049595358695652174,0.032124593197347895,92,1
fico_fed2007,bofa,0.01086037336799202,0.026965957446808513,0.01610558407881649,94,2
fico_fed2007,chase,0.007022838964251069,0.020543478260869562,0.013520639296618496,92,3
fico_fed2007,comet,0.006204656456059121,0.029882222222222223,0.023677565766163103,90,4
fico_fed2007,citi,0.005540990283031311,0.021656382978723403,0.016115392695692093,94,5
fico_fed2007,amex,0.0037621200032045355,0.018354478260869566,0.01459235825766503,92,6
fico_odds,synchrony,0.016530263265913704,0.049595358695652174,0.03306509542973846,92,1
fico_odds,bofa,0.009663763813838842,0.026965957446808513,0.017302193632969667,94,2
fico_odds,chase,0.005908568391632068,0.020543478260869562,0.0146349098692375,92,3
fico_odds,comet,0.005472808205569229,0.029882222222222223,0.024409414016652992,90,4
fico_odds,citi,0.00420023908005751,0.021656382978723403,0.017456143898665896,94,5
fico_odds,amex,0.0028494138286949662,0.018354478260869566,0.015505064432174599,92,6
