spec,term,coef,se,p
month_fe,deep_subprime,0.2711290634010213,0.022779707738469664,1.1524190360610065e-32
month_fe,subprime,1.370059336386235,0.09671929721170675,1.5019139378915883e-45
month_fe,near_prime,0.16906492128925366,0.02347750726148458,5.970924617136339e-13
month_fe,prime,0.543639238047447,0.03922823908167468,1.1322466263678062e-43
month_fe,prime_plus,0.7069647058471996,0.057593095176906334,1.231415751551783e-34
month_and_trust_fe,deep_subprime,3514020228.024567,,
month_and_trust_fe,subprime,-6112356524.18183,,
month_and_trust_fe,near_prime,-8107681749.802147,,
month_and_trust_fe,prime,-16568220871.03112,,
month_and_trust_fe,prime_plus,5518185659.141778,,
month_and_trust_fe,trust_bofa,634798390.2120732,,
month_and_trust_fe,trust_chase,-685118215.9007252,,
month_and_trust_fe,trust_citi,804969031.5917222,,
month_and_trust_fe,trust_comet,1262086230.0181563,,
month_and_trust_fe,trust_synchrony,3241541165.064293,,
