trust,period_end,co_monthly,entry,progression,conversion,identity,identity_error,delinq_30plus_share,delinq_90plus_share,gross_co_rate
amex,2018-12-31,0.0013230246575342466,0.00837279,0.4464831913854283,0.35390983025330874,0.0013230246575342468,2.168404344971009e-19,0.00837279,0.00373831,0.015885
amex,2019-01-31,0.0013762454794520548,0.0089975,0.47237121422617395,0.3238102752489447,0.0013762454794520548,0.0,0.0089975,0.00425016,0.016524
amex,2019-02-28,0.0016693347945205478,0.00979268,0.4860048526041901,0.35075290526959857,0.0016693347945205478,0.0,0.00979268,0.00475929,0.020043
amex,2019-03-31,0.0017934334246575343,0.00948154,0.48396990362325104,0.39083011708069126,0.0017934334246575343,0.0,0.00948154,0.00458878,0.021533
amex,2019-04-30,0.001778191780821918,0.00920081,0.5035013221662006,0.3838414937598849,0.0017781917808219181,2.168404344971009e-19,0.00920081,0.00463262,0.02135
amex,2019-05-31,0.0017839386301369863,0.00903075,0.5106796224012402,0.3868187895748287,0.0017839386301369863,0.0,0.00903075,0.00461182,0.021419
amex,2019-06-30,0.001709812602739726,0.00922431,0.490749985635782,0.3777063867518166,0.001709812602739726,0.0,0.00922431,0.00452683,0.020529
amex,2019-07-31,0.001706314520547945,0.00958007,0.4746458011267141,0.37525005180133997,0.001706314520547945,0.0,0.00958007,0.00454714,0.020487
amex,2019-08-31,0.001823916712328767,0.00962773,0.47252675345070955,0.4009172086466596,0.001823916712328767,0.0,0.00962773,0.00454936,0.021899
amex,2019-09-30,0.0017037326027397259,0.01022751,0.4753023952066534,0.35047861060728835,0.0017037326027397259,0.0,0.01022751,0.00486116,0.020456
amex,2019-10-31,0.0017560372602739725,0.01047511,0.47627471215099415,0.35197969550673625,0.0017560372602739723,2.168404344971009e-19,0.01047511,0.00498903,0.021084
amex,2019-11-30,0.0018396580821917808,0.0105359,0.4894769312540931,0.3567247516408085,0.0018396580821917806,2.168404344971009e-19,0.0105359,0.00515708,0.022088
amex,2019-12-31,0.0018290805479452056,0.01011475,0.4983899750364566,0.3628343370075134,0.0018290805479452056,0.0,0.01011475,0.00504109,0.021961
amex,2020-01-31,0.0017873534246575342,0.01036289,0.5069319465901887,0.34023570505618095,0.0017873534246575342,0.0,0.01036289,0.00525328,0.02146
amex,2020-02-29,0.0021408263013698633,0.01048611,0.5026659075672485,0.4061510604931244,0.0021408263013698637,4.336808689942018e-19,0.01048611,0.00527101,0.025704
amex,2020-03-31,0.002180138082191781,0.01099166,0.4896366881799473,0.4050855609506981,0.002180138082191781,0.0,0.01099166,0.00538192,0.026176
amex,2020-04-30,0.002275752328767123,0.01166074,0.5015573625687564,0.3891152697801196,0.002275752328767123,0.0,0.01166074,0.00584853,0.027324
amex,2020-05-31,0.002246684931506849,0.01127828,0.5023008827587185,0.3965841551514361,0.002246684931506849,0.0,0.01127828,0.00566509,0.026975
amex,2020-06-30,0.0021025139726027395,0.01075249,0.49423807880779247,0.3956340306236091,0.0021025139726027395,0.0,0.01075249,0.00531429,0.025244
amex,2020-07-31,0.002165979178082192,0.00969982,0.5197704699674839,0.42961456857281544,0.0021659791780821915,4.336808689942018e-19,0.00969982,0.00504168,0.026006
amex,2020-08-31,0.0020600372602739723,0.00858497,0.5486973163563763,0.43732414691999283,0.0020600372602739723,0.0,0.00858497,0.00471055,0.024734
amex,2020-09-30,0.0017975978082191782,0.00794951,0.5622484907874825,0.40218315021907514,0.0017975978082191782,0.0,0.00794951,0.0044696,0.021583
amex,2020-10-31,0.0019030400000000002,0.00723265,0.5455953212169813,0.48225843237627025,0.0019030400000000002,0.0,0.00723265,0.0039461,0.022849
amex,2020-11-30,0.0018832175342465753,0.00669801,0.5140855268953017,0.5469143520834581,0.0018832175342465753,0.0,0.00669801,0.00344335,0.022611
amex,2020-12-31,0.0015830487671232875,0.00628803,0.49017100745384484,0.5136083417818018,0.0015830487671232875,0.0,0.00628803,0.00308221,0.019007
amex,2021-01-31,0.0014987616438356165,0.0063505,0.5005952287221478,0.4714525008683833,0.0014987616438356165,0.0,0.0063505,0.00317903,0.017995
amex,2021-02-28,0.0016838268493150684,0.00627958,0.5085180856044513,0.5273032271880538,0.0016838268493150686,2.168404344971009e-19,0.00627958,0.00319328,0.020217
amex,2021-03-31,0.0015121709589041095,0.00560857,0.5096753717970891,0.5289993034594845,0.0015121709589041095,0.0,0.00560857,0.00285855,0.018156
amex,2021-04-30,0.0014228865753424657,0.00498648,0.5249534741942212,0.5435698828891593,0.0014228865753424659,2.168404344971009e-19,0.00498648,0.00261767,0.017084
amex,2021-05-31,0.001289626301369863,0.00441924,0.5287311845475693,0.551926654385178,0.001289626301369863,0.0,0.00441924,0.00233659,0.015484
amex,2021-06-30,0.0011730235616438356,0.00419566,0.4951092319206037,0.5646839237493853,0.0011730235616438356,0.0,0.00419566,0.00207731,0.014084
amex,2021-07-31,0.0011171375342465752,0.00424077,0.4584568368480253,0.5745971547551835,0.0011171375342465752,0.0,0.00424077,0.00194421,0.013413
amex,2021-08-31,0.000994454794520548,0.00433218,0.4313117183496531,0.5322152262328196,0.000994454794520548,0.0,0.00433218,0.00186852,0.01194
amex,2021-09-30,0.0009831276712328767,0.00466343,0.4341632660938408,0.48556948038113323,0.0009831276712328767,0.0,0.00466343,0.00202469,0.011804
amex,2021-10-31,0.001012778082191781,0.00465415,0.42375729187929057,0.513519255964964,0.001012778082191781,0.0,0.00465415,0.00197223,0.01216
amex,2021-11-30,0.000980878904109589,0.00474161,0.4407616822134253,0.4693380149046801,0.000980878904109589,0.0,0.00474161,0.00208992,0.011777
amex,2021-12-31,0.0010020339726027397,0.00473255,0.45015477913598373,0.47035457176782536,0.0010020339726027397,0.0,0.00473255,0.00213038,0.012031
amex,2022-01-31,0.0009339879452054795,0.00501992,0.46412094216640903,0.4008790030282977,0.0009339879452054795,0.0,0.00501992,0.00232985,0.011214
amex,2022-02-28,0.0011605304109589042,0.00529483,0.4533573315857166,0.4834636884579575,0.0011605304109589042,0.0,0.00529483,0.00240045,0.013934
amex,2022-03-31,0.0011652778082191782,0.00496884,0.44723919466112816,0.5243660994749391,0.0011652778082191782,0.0,0.00496884,0.00222226,0.013991
amex,2022-04-30,0.0011150553424657535,0.00469873,0.4688224264854546,0.5061829987542403,0.0011150553424657535,0.0,0.00469873,0.00220287,0.013388
amex,2022-05-31,0.0010380142465753425,0.00454192,0.48239070701377396,0.47376710265513267,0.0010380142465753425,0.0,0.00454192,0.00219098,0.012463
amex,2022-06-30,0.0009631386301369862,0.00456167,0.46722581861467394,0.4518955910802111,0.0009631386301369863,1.0842021724855044e-19,0.00456167,0.00213133,0.011564
amex,2022-07-31,0.0009617227397260274,0.00464118,0.45234401596145807,0.4580919114065511,0.0009617227397260274,0.0,0.00464118,0.00209941,0.011547
amex,2022-08-31,0.0009559758904109589,0.00476186,0.44018933777977515,0.4560692567271716,0.0009559758904109589,0.0,0.00476186,0.00209612,0.011478
amex,2022-09-30,0.0009682191780821918,0.00521743,0.42329844386987464,0.4383998306938061,0.0009682191780821917,1.0842021724855044e-19,0.00521743,0.00220853,0.011625
amex,2022-10-31,0.0009588076712328767,0.00543511,0.42399509853526424,0.4160660941100634,0.0009588076712328767,0.0,0.00543511,0.00230446,0.011512
amex,2022-11-30,0.0010732449315068492,0.00557367,0.4272176142469863,0.45072167527175677,0.0010732449315068492,0.0,0.00557367,0.00238117,0.012886
amex,2022-12-31,0.0010007013698630136,0.00577299,0.43608078309506854,0.3974996404605435,0.0010007013698630136,0.0,0.00577299,0.00251749,0.012015
amex,2023-01-31,0.001199758904109589,0.00615213,0.4433147544021339,0.4399023602239513,0.001199758904109589,0.0,0.00615213,0.00272733,0.014405
amex,2023-02-28,0.0012565610958904109,0.0066302,0.4458930349009079,0.42503656384554345,0.0012565610958904109,0.0,0.0066302,0.00295636,0.015087
amex,2023-03-31,0.001391653698630137,0.00645178,0.4561252863550834,0.47289800213065597,0.001391653698630137,0.0,0.00645178,0.00294282,0.016709
amex,2023-04-30,0.0012478991780821918,0.00633465,0.4646491913523242,0.42396664325223354,0.0012478991780821918,0.0,0.00633465,0.00294339,0.014983
amex,2023-05-31,0.0012840460273972603,0.00627142,0.4733074806024792,0.4325848807561408,0.0012840460273972603,0.0,0.00627142,0.00296831,0.015417
amex,2023-06-30,0.0013690827397260274,0.00643488,0.4558841812123925,0.46669668925333974,0.0013690827397260274,0.0,0.00643488,0.00293356,0.016438
amex,2023-07-31,0.0013717479452054794,0.00667609,0.43812171495590985,0.4689832766502832,0.0013717479452054794,0.0,0.00667609,0.00292494,0.01647
amex,2023-08-31,0.0013595046575342465,0.00685499,0.4313602208026562,0.45976274954911495,0.0013595046575342465,0.0,0.00685499,0.00295697,0.016323
amex,2023-09-30,0.0013843243835616437,0.00732365,0.4435165525386931,0.42618725172455907,0.0013843243835616437,0.0,0.00732365,0.00324816,0.016621
amex,2023-10-31,0.001384907397260274,0.0076757,0.44140338991883477,0.4087587652181395,0.001384907397260274,0.0,0.0076757,0.00338808,0.016628
amex,2023-11-30,0.0013509260273972601,0.0079038,0.4493408234014018,0.38038181821688305,0.0013509260273972601,0.0,0.0079038,0.0035515,0.01622
amex,2023-12-31,0.001627357808219178,0.00769795,0.45420144324138245,0.46543544774917717,0.001627357808219178,0.0,0.00769795,0.00349642,0.019539
amex,2024-01-31,0.0014817709589041096,0.00821495,0.46426941125630705,0.3885134726213269,0.0014817709589041096,0.0,0.00821495,0.00381395,0.017791
amex,2024-02-29,0.0018720569863013698,0.00819471,0.4660640828046387,0.4901622267929834,0.0018720569863013698,0.0,0.00819471,0.00381926,0.022477
amex,2024-03-31,0.0015977073972602738,0.00806411,0.4586222162148086,0.4320019568730833,0.0015977073972602738,0.0,0.00806411,0.00369838,0.019183
amex,2024-04-30,0.0018311627397260273,0.0078429,0.46341914342908874,0.5038210341654475,0.0018311627397260273,0.0,0.0078429,0.00363455,0.021986
amex,2024-05-31,0.0016560087671232877,0.0076223,0.4766553402516301,0.45579770151554344,0.0016560087671232877,0.0,0.0076223,0.00363321,0.019883
amex,2024-06-30,0.0016634213698630137,0.007586,0.46855127867123647,0.46798540690434576,0.0016634213698630137,0.0,0.007586,0.00355443,0.019972
amex,2024-07-31,0.0014911824657534245,0.00779482,0.4580747214175568,0.41762681047591993,0.0014911824657534245,0.0,0.00779482,0.00357061,0.017904
amex,2024-08-31,0.001640850410958904,0.00785336,0.4506084020088217,0.4636755532142071,0.001640850410958904,0.0,0.00785336,0.00353879,0.019701
amex,2024-09-30,0.0016053698630136986,0.00829314,0.4361327555063583,0.4438512053143978,0.0016053698630136986,0.0,0.00829314,0.00361691,0.019275
amex,2024-10-31,0.0017156427397260273,0.00826967,0.4422316730897363,0.46912527644124113,0.0017156427397260273,0.0,0.00826967,0.00365711,0.020599
amex,2024-11-30,0.0015520657534246573,0.00829167,0.45770273057176664,0.4089635514620506,0.0015520657534246573,0.0,0.00829167,0.00379512,0.018635
amex,2024-12-31,0.0015172515068493152,0.00811369,0.47692480240186647,0.3920931530355216,0.0015172515068493152,0.0,0.00811369,0.00386962,0.018217
amex,2025-01-31,0.0017715287671232877,0.00827315,0.4828547772009453,0.4434664588403441,0.0017715287671232877,0.0,0.00827315,0.00399473,0.02127
