period,trust,months,entry,progression,conversion,co_monthly,entry_ratio,progression_ratio,conversion_ratio,co_monthly_ratio,baseline
pre-covid 2019,amex,14,0.009795547142857143,0.488820808788564,0.3684522420318154,0.001764134011741683,0.32519373176845306,0.9671265950774268,1.12576165118831,0.35589427202627744,synchrony
pre-covid 2019,bofa,14,0.01611607285714286,0.5032173145720306,0.3250884703885707,0.0026339285714285714,0.5350232914440269,0.9956099234649441,0.9932688458856441,0.5313655795187089,synchrony
pre-covid 2019,chase,14,0.011671122142857144,0.49719361683484337,0.36930559067352,0.0021416666666666667,0.3874592922896304,0.9836921037289572,1.1283689556536785,0.4320572553917096,synchrony
pre-covid 2019,citi,16,0.015731983124999998,0.5102620986349833,0.2802051949454748,0.00224772602739726,0.5222722351214036,1.0095479512685155,0.8561333788983206,0.4534535431609824,synchrony
pre-covid 2019,comet,12,0.0200223375,0.5091778679025626,0.2960076496021876,0.003010416666666667,0.6647039267327017,1.0074028126867045,0.9044158845198587,0.6073178346702532,synchrony
pre-covid 2019,synchrony,14,0.030122189285714286,0.5054362182537537,0.3272915200503514,0.004956904761904761,1.0,1.0,1.0,1.0,synchrony
stimulus 2020-21,amex,21,0.006635677142857142,0.4945167908628114,0.486988840193087,0.0015565989823874756,0.34669844450825843,0.9699223273037907,1.3417530013443968,0.4461259615265521,synchrony
stimulus 2020-21,bofa,22,0.012061523636363636,0.4999321514060658,0.374984152306548,0.0022098484848484846,0.6301860975301059,0.9805437646307985,1.0331573750527958,0.633349238491033,synchrony
stimulus 2020-21,chase,21,0.008730548095238096,0.49847893965074647,0.42501538824582574,0.0018265873015873017,0.4561504996640478,0.977693502407497,1.1710035748874352,0.5235054278289254,synchrony
stimulus 2020-21,citi,21,0.011808527619047618,0.5068551976518544,0.2813572789524129,0.001699068493150685,0.6169676536875411,0.9941223068579114,0.7751963542630923,0.4869581528594595,synchrony
stimulus 2020-21,comet,21,0.01223630380952381,0.5131987832579002,0.35514981774969145,0.0022047619047619047,0.6393179484114804,1.006564321827174,0.9785097615453088,0.6318914093020875,synchrony
stimulus 2020-21,synchrony,21,0.019139621904761903,0.5098519509675368,0.3629496932036959,0.0034891468253968254,1.0,1.0,1.0,1.0,synchrony
normalising 2022-23H1,amex,18,0.005486845000000001,0.45141420238005026,0.4510271128656964,0.0011135376560121766,0.2672468606955802,0.9259547101947696,1.4630973216007377,0.36149527352696836,synchrony
normalising 2022-23H1,bofa,18,0.009976163333333335,0.47016487997622153,0.37276892758495844,0.0017347222222222221,0.4859073534280062,0.9644166773813954,1.2092337776774331,0.5631546278024344,synchrony
normalising 2022-23H1,chase,18,0.0075491361111111105,0.4744059302692663,0.38189942624426243,0.0013601851851851852,0.36769453605087893,0.9731160503171886,1.238852414234399,0.44156613196785494,synchrony
normalising 2022-23H1,citi,18,0.009489988333333333,0.4756732493625642,0.2604476339252113,0.0011785205479452054,0.4622273073361858,0.9757156142599531,0.8448721257400227,0.3825911099965047,synchrony
normalising 2022-23H1,comet,18,0.011901026666666667,0.48179796899493027,0.312773326773643,0.0017708333333333335,0.5796613565211067,0.988278827739526,1.0146126554634323,0.5748776224564484,synchrony
normalising 2022-23H1,synchrony,18,0.020530998888888888,0.4875121832741665,0.3082687024348039,0.0030803657407407407,1.0,1.0,1.0,1.0,synchrony
squeeze 2023H2 on,amex,37,0.007694807027027026,0.45842772710862617,0.4581505180496424,0.0016137098852276935,0.2614739826518317,0.8915631104927505,1.4740347163028922,0.34378073883764815,synchrony
squeeze 2023H2 on,bofa,37,0.013884575405405405,0.5029851777860139,0.33547001089119993,0.0023405405405405406,0.4718058836211892,0.9782196911758512,1.0793274761255593,0.4986229332002649,synchrony
squeeze 2023H2 on,chase,37,0.008740821621621622,0.4955957484571263,0.3765160324972184,0.001625900900900901,0.2970181621224717,0.9638485216159691,1.2113872652772852,0.3463778824839023,synchrony
squeeze 2023H2 on,citi,37,0.014130660540540541,0.5048187823596303,0.27265895357049796,0.0019473557941503147,0.48016799850323827,0.9817857368148833,0.8772417523059179,0.4148598331219303,synchrony
squeeze 2023H2 on,comet,37,0.018485465945945946,0.5133098166714257,0.29492334046231256,0.0027966216216216214,0.6281467988845407,0.998299338664562,0.9488742790035692,0.5957853119272217,synchrony
squeeze 2023H2 on,synchrony,37,0.029428576216216216,0.5141842699786688,0.31081392655306994,0.004694009009009009,1.0,1.0,1.0,1.0,synchrony
