scenario,premium_share,n_cards,monthly_rate_all,rate_prem,rate_other_holders,rate_nonholders,fr_effect_other,fr_effect_prem,mean_line_other_holders,mean_line_other_nonholders
"free-riding off, brand zero, selection off",0.24025400000000002,569972.2,0.013666433758421356,0.006621118352853743,0.005927920794073727,0.016036097429737182,0.0,0.0,10873.472261287605,6411.873764739642
"free-riding off, brand zero, selection ON",0.239974,569972.2,0.013691491225568345,0.002883363941672881,0.002586964113253839,0.0171663867925403,0.0,0.0,12287.438637937657,5996.705893193563
"free-riding off, brand POSITIVE, selection off",0.24025400000000002,569972.2,0.013377091636796724,0.0031889100849613063,0.005927920794073727,0.016036097429737182,0.0,0.0,10873.472261287605,6411.873764739642
"free-riding off, brand POSITIVE, selection ON",0.239974,569972.2,0.01355905793512006,0.001310551306146059,0.002586964113253839,0.0171663867925403,0.0,0.0,12287.438637937657,5996.705893193563
"free-riding ON, brand zero, selection off",0.24025400000000002,569972.2,0.013656755025711514,0.006531622877310256,0.005914210770139418,0.016036097429737182,-0.0013710023934308782,-0.00894954755434883,11840.032091521998,6411.873764739642
"free-riding ON, brand zero, selection ON",0.239974,569972.2,0.013683449939893916,0.002829180258500806,0.0025646365348136134,0.0171663867925403,-0.002232757844022544,-0.005418368317207483,13379.70286754463,5996.705893193563
"free-riding ON, brand POSITIVE, selection off",0.24025400000000002,569972.2,0.013371448305850724,0.003147297377188554,0.005914210770139418,0.016036097429737182,-0.0013710023934308782,-0.004161270777275265,11840.032091521998,6411.873764739642
"free-riding ON, brand POSITIVE, selection ON",0.239974,569972.2,0.013553677504120445,0.0012879724611218044,0.0025646365348136134,0.0171663867925403,-0.002232757844022544,-0.002257884502425472,13379.70286754463,5996.705893193563
"free-riding ON (gamma=0.25), brand zero, selection off",0.24025400000000002,569972.2,0.013643480262571662,0.00642755661687548,0.005885321929319384,0.016036097429737182,-0.0042598864754342155,-0.01935617359782632,13289.871836873586,6411.873764739642
"free-riding off, brand zero, selection off, cutoff 620",0.29184,569972.2,0.013913964785343643,0.012542593694615817,0.010814769030951788,0.014941946240143217,0.0,0.0,8524.51604761821,7042.062189969694
"free-riding ON, brand zero, selection off, cutoff 620",0.29184,569972.2,0.01393908428060299,0.01249320522162842,0.010973983261292723,0.014941946240143217,0.01592142303409347,-0.00493884729873985,9282.291992338529,7042.062189969694
"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",0.29184,569972.2,0.013979671896459406,0.012467808946500425,0.011201822654736984,0.014941946240143217,0.03870536237851948,-0.007478474811539353,10418.955909419008,7042.062189969694
