scenario,seed,free_riding,brand,selection,gamma,cutoff,estimator,true,est,est_clean
"free-riding off, brand zero, selection off",20260910,0,0,0,0.0,680,"(a) pool-level, constant FICO mix",0.0,0.021293980893161858,0.021293980893161858
"free-riding off, brand zero, selection off",20260910,0,0,0,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.061373357353913444,-0.061373357353913444
"free-riding off, brand zero, selection off",20260910,0,0,0,0.0,680,"(c) within-person, no time effects",0.0,0.043656507535099,0.043656507535099
"free-riding off, brand zero, selection off",20260910,0,0,0,0.0,680,"(d) person x month FE, issuer dummy",0.0,2.9111338100102127,2.9111338100102127
"free-riding off, brand zero, selection off",20260910,0,0,0,0.0,680,(e) person x month FE + line/balance controls,0.0,-0.3397676415754213,-0.3397676415754213
"free-riding off, brand zero, selection off",20260910,0,0,0,0.0,680,"(f) RD at approval cutoff, other cards",0.0,-0.12814206070079553,-0.12814206070079553
"free-riding off, brand zero, selection ON",20260910,0,0,1,0.0,680,"(a) pool-level, constant FICO mix",0.0,-0.3125305273896935,0.021293980893161858
"free-riding off, brand zero, selection ON",20260910,0,0,1,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.48971563034092724,-0.061373357353913444
"free-riding off, brand zero, selection ON",20260910,0,0,1,0.0,680,"(c) within-person, no time effects",0.0,0.009459900274942853,0.043656507535099
"free-riding off, brand zero, selection ON",20260910,0,0,1,0.0,680,"(d) person x month FE, issuer dummy",0.0,1.3929870308104033,2.9111338100102127
"free-riding off, brand zero, selection ON",20260910,0,0,1,0.0,680,(e) person x month FE + line/balance controls,0.0,-1.9911224674057184,-0.3397676415754213
"free-riding off, brand zero, selection ON",20260910,0,0,1,0.0,680,"(f) RD at approval cutoff, other cards",0.0,-0.11623018654507886,-0.12814206070079553
"free-riding off, brand POSITIVE, selection off",20260910,0,1,0,0.0,680,"(a) pool-level, constant FICO mix",-0.34126095490862846,-0.31996697401546786,-0.31996697401546786
"free-riding off, brand POSITIVE, selection off",20260910,0,1,0,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.061373357353913444,-0.061373357353913444
"free-riding off, brand POSITIVE, selection off",20260910,0,1,0,0.0,680,"(c) within-person, no time effects",-0.34126095490862846,-0.2910201743660852,-0.2910201743660852
"free-riding off, brand POSITIVE, selection off",20260910,0,1,0,0.0,680,"(d) person x month FE, issuer dummy",-4.827984966753397,-23.408068400321113,-23.408068400321113
"free-riding off, brand POSITIVE, selection off",20260910,0,1,0,0.0,680,(e) person x month FE + line/balance controls,-4.827984966753397,-24.091097274859553,-24.091097274859553
"free-riding off, brand POSITIVE, selection off",20260910,0,1,0,0.0,680,"(f) RD at approval cutoff, other cards",0.0,-0.12814206070079553,-0.12814206070079553
"free-riding off, brand POSITIVE, selection ON",20260910,0,1,1,0.0,680,"(a) pool-level, constant FICO mix",-0.15968562759923075,-0.4722161549889239,-0.31996697401546786
"free-riding off, brand POSITIVE, selection ON",20260910,0,1,1,0.0,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.48971563034092724,-0.061373357353913444
"free-riding off, brand POSITIVE, selection ON",20260910,0,1,1,0.0,680,"(c) within-person, no time effects",-0.15968562759923075,-0.14520713919567466,-0.2910201743660852
"free-riding off, brand POSITIVE, selection ON",20260910,0,1,1,0.0,680,"(d) person x month FE, issuer dummy",-3.8224813735017813,-26.270972093415313,-23.408068400321113
"free-riding off, brand POSITIVE, selection ON",20260910,0,1,1,0.0,680,(e) person x month FE + line/balance controls,-3.8224813735017813,-28.438345832505334,-24.091097274859553
"free-riding off, brand POSITIVE, selection ON",20260910,0,1,1,0.0,680,"(f) RD at approval cutoff, other cards",0.0,-0.11623018654507886,-0.12814206070079553
"free-riding ON, brand zero, selection off",20260910,1,0,0,0.1,680,"(a) pool-level, constant FICO mix",0.0,0.011294090543736923,0.021293980893161858
"free-riding ON, brand zero, selection off",20260910,1,0,0,0.1,680,"(b) cross-section, other cards, FICO-controlled",0.0,-0.06256370936192264,-0.061373357353913444
"free-riding ON, brand zero, selection off",20260910,1,0,0,0.1,680,"(c) within-person, no time effects",0.0,0.03372296940377396,0.043656507535099
"free-riding ON, brand zero, selection off",20260910,1,0,0,0.1,680,"(d) person x month FE, issuer dummy",0.0,2.2648626741902276,2.9111338100102127
