trust,rung,from_bucket,to_bucket,n,mean,median,sd
amex,30->60,31-60,61-90,91,0.7279308134541241,0.7297609191018735,0.024424882972815733
amex,60->90,61-90,91-120,91,0.8270767606049498,0.8287642152329178,0.022687694803874444
amex,90->120,91-120,120+,91,1.5229157413007448,1.5118805554716686,0.1008455582537931
amex,CO,120+,charge-off $,91,0.7069380506839344,0.7252406262466764,0.07906707875432238
bofa,30->60,30-59,60-89,91,0.6959187146410469,0.6960892302835521,0.031474018097853065
bofa,60->90,60-89,90-119,91,0.8493849988512808,0.8532145637785865,0.029636407888314887
bofa,90->120,90-119,120-149,91,0.8834329962461175,0.8842100969133704,0.02514676090562718
bofa,120->150,120-149,150-179,91,0.972699163858853,0.9803536980449559,0.028765605094597687
bofa,150->180,150-179,180+,91,0.0001551408942867498,0.0,0.0004365989733316721
bofa,CO,150-179,charge-off $,91,1.065471974402061,1.0393328548540095,0.09906119307894154
chase,30->60,30-59,60-89,91,0.7205032162378127,0.7280571108604732,0.05132969696820878
chase,60->90,60-89,90-119,91,0.8275754926536779,0.8336399642025245,0.04757896207418821
chase,90->120,90-119,120-149,91,0.8780125712747554,0.8816556622337682,0.058669952564849547
chase,120->150,120-149,150-179,91,0.948597720294631,0.9540549245948736,0.052700774021682315
chase,150->180,150-179,180+,91,0.00045741118651207387,0.0,0.0019095772017932722
chase,CO,150-179,charge-off $,91,1.2168424647528548,1.2156393472884512,0.08050149955034745
citi,1->30,1-30,31-60,91,0.2973618724135743,0.3006394628830684,0.045698016167698974
citi,30->60,31-60,61-90,91,0.7548442180520168,0.7652324767676733,0.038505315033377605
citi,60->90,61-90,91-120,91,0.8616149419802648,0.8666294321345848,0.026249983152002214
citi,90->120,91-120,121-150,91,0.8426652099991332,0.8452600599189746,0.020302960353403364
citi,120->150,121-150,151-180,91,0.952907669957821,0.953803207296092,0.01815381120062546
citi,CO,151-180,charge-off $,91,0.8700014175094978,0.8773840487744091,0.07919101973795636
comet,30->60,30-59,60-89,87,0.7412653573409923,0.7445124981158336,0.030355955831782386
comet,60->90,60-89,90-119,87,0.8672387366467443,0.8688137708992583,0.0167295648155259
comet,90->120,90-119,120-149,87,0.9144774224678429,0.916893542421654,0.015606598959735754
comet,120->150,120-149,150+,87,0.914091798169926,0.9165042305257824,0.014516876493007336
comet,CO,150+,charge-off $,87,1.0138870811382812,0.9885399470051289,0.07329038157195002
synchrony,1->30,1-29,30-59,91,0.3392275930330995,0.3384369259963797,0.06818017224770707
synchrony,30->60,30-59,60-89,91,0.7922995903240325,0.7994157918578564,0.03914404309508836
synchrony,60->90,60-89,90-119,91,0.8818263702125584,0.8901806560499534,0.032293647702685384
synchrony,90->120,90-119,120-149,91,0.8882996569951612,0.8899666692497057,0.02431369823036322
synchrony,120->150,120-149,150-179,91,0.8816490027786901,0.8817015841647259,0.03247541256430185
synchrony,150->180,150-179,180+,91,2.9644503632442516e-05,0.0,0.00011279576376475488
synchrony,CO,150-179,charge-off $,91,1.0714558655236384,1.060583248784315,0.06890557818929635
