ym,amex,bofa,chase,citi,comet,synchrony,amex/sync,six_mean,amex/six,sync/six,diff_pp
2018-12,0.00837,0.0168,0.01174,0.01567,0.02114,0.03104,0.26976,0.01746,0.47957,1.77773,-2.26648
2019-01,0.009,0.0169,0.01211,0.01645,0.02162,0.03292,0.27329,0.01817,0.49527,1.81226,-2.39252
2019-02,0.00979,0.01696,0.0125,0.01638,0.0216,0.03351,0.29225,0.01846,0.53052,1.81531,-2.37154
2019-03,0.00948,0.01675,0.01226,0.01623,0.02056,0.03239,0.29274,0.01794,0.5284,1.80504,-2.29079
2019-04,0.0092,0.01619,0.01181,0.01606,0.01922,0.03092,0.29755,0.01723,0.53392,1.79441,-2.17213
2019-08,0.00963,0.01558,0.01144,0.01534,0.01834,0.02841,0.33884,0.01646,0.58503,1.72658,-1.87865
2019-09,0.01023,0.01592,0.01168,0.0153,0.01914,0.03023,0.33835,0.01708,0.59868,1.76937,-1.99996
2019-10,0.01048,0.01623,0.01158,0.01593,0.01998,0.03172,0.33019,0.01765,0.59333,1.79695,-2.12499
2019-11,0.01054,0.01626,0.0117,0.01593,0.01986,0.03297,0.31956,0.01787,0.58942,1.84447,-2.2434
2019-12,0.01011,0.01605,0.01125,0.01558,0.01933,0.02396,0.42222,0.01605,0.63028,1.49278,-1.38413
2020-01,0.01036,0.01609,0.01143,0.01587,0.01978,0.02603,0.39816,0.01659,0.62457,1.56864,-1.56643
2020-02,0.01049,0.01576,0.01143,0.0154,0.01922,0.02786,0.37644,0.01669,0.62818,1.66877,-1.73702
2020-03,0.01099,0.01581,0.01165,0.01555,0.01934,0.02807,0.39162,0.0169,0.65036,1.66069,-1.70755
2020-04,0.01166,0.01552,0.01269,0.01692,0.01982,0.02784,0.41879,0.01741,0.66985,1.59951,-1.61834
2020-05,0.01128,0.01462,0.01196,0.01592,0.01829,0.02579,0.43727,0.01631,0.69146,1.58132,-1.45144
2020-06,0.01075,0.013,0.01073,0.01472,0.01627,0.02352,0.45725,0.01483,0.725,1.58557,-1.27629
2020-07,0.0097,0.0116,0.00987,0.01417,0.01345,0.01794,0.54054,0.01279,0.7584,1.40304,-0.82448
2020-08,0.00858,0.01084,0.00945,0.0132,0.01256,0.01701,0.50476,0.01194,0.71892,1.42429,-0.84232
2020-09,0.00795,0.012,0.00984,0.01362,0.01217,0.01795,0.44296,0.01225,0.64877,1.46464,-0.9997
2020-10,0.00723,0.01357,0.00995,0.01384,0.01195,0.02004,0.36089,0.01277,0.56657,1.56992,-1.28084
2020-11,0.0067,0.01462,0.01025,0.01393,0.01233,0.02162,0.30974,0.01324,0.50584,1.63308,-1.49263
2020-12,0.00629,0.01499,0.00992,0.01363,0.01301,0.02334,0.2694,0.01353,0.46475,1.72514,-1.7053
2021-01,0.00635,0.01555,0.00993,0.01376,0.01382,0.0249,0.25503,0.01405,0.45196,1.77218,-1.85502
2021-02,0.00628,0.01504,0.00973,0.01322,0.0138,0.02447,0.25667,0.01376,0.45651,1.77861,-1.81864
2021-03,0.00561,0.01306,0.00889,0.01249,0.01239,0.02181,0.25713,0.01237,0.45322,1.76262,-1.62037
2021-04,0.00499,0.01173,0.00782,0.01116,0.0112,0.01928,0.25858,0.01103,0.45209,1.74837,-1.42978
