spec,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const
S1 1st diff + month dummies      | PR ,88,0.21700715922395336,0.11339135970726714,1.9137891968504686,0.05564709642390686,-0.005235823713340776,0.43925014216124747,0.7526410377390343,0.04028494367225977,0.014624293958554978
S2 dist-lag lead  (dx_t+1)       | PR ,86,-0.7990503668646748,0.14954209109137737,-5.343314120011983,9.126240985146694e-08,,,0.2936011817525406,0.0649986013621523,0.002343930372949613
S2 dist-lag contemporaneous      | PR ,86,1.3992598498398416,0.22558939115585855,6.20268463277646,5.550799819786789e-10,,,0.2936011817525406,0.0649986013621523,0.002343930372949613
S2 dist-lag lag   (dx_t-1)       | PR ,86,-0.6024225641500658,0.19280340216857655,-3.124543225763937,0.001780813548806881,,,0.2936011817525406,0.0649986013621523,0.002343930372949613
S2 SUM of the three (long run)   | PR ,86,-0.0022130811748989343,0.10557274257869508,-0.02096261895677551,0.9832754748695958,-0.20913185601040846,0.2047056936606106,0.2936011817525406,0.0649986013621523,0.002343930372949613
S3 12-month difference           | PR ,77,-0.011185695331089603,0.04529918413551536,-0.24692928900500483,0.8049629487078596,-0.09997046546607083,0.07759907480389164,0.0020616460331520647,0.06100105304450506,0.028642291265580138
S1 1st diff + month dummies      | 30+,88,-0.5113422575011167,0.17949953427504334,-2.8487107755811656,0.004389676578284041,-0.8631548826969677,-0.15952963230526568,0.22743567171228707,0.06117160787165641,-0.0065227226852681034
S2 dist-lag lead  (dx_t+1)       | 30+,86,0.3053442818842911,0.2356326774755928,1.2958486282783046,0.19502764078898593,,,0.17154731780214783,0.06048496894000601,-0.0020917772074804143
S2 dist-lag contemporaneous      | 30+,86,-0.8989298525404551,0.28546821686408574,-3.148966502874975,0.0016384897523815667,,,0.17154731780214783,0.06048496894000601,-0.0020917772074804143
S2 dist-lag lag   (dx_t-1)       | 30+,86,0.32676262275641005,0.16348537263081198,1.998726965588023,0.045637903721699846,,,0.17154731780214783,0.06048496894000601,-0.0020917772074804143
S2 SUM of the three (long run)   | 30+,86,-0.26682294789975397,0.17335759864503722,-1.5391476923148555,0.12376824412540355,-0.6065976003704757,0.07295170457096778,0.17154731780214783,0.06048496894000601,-0.0020917772074804143
S3 12-month difference           | 30+,77,0.16106463511472122,0.22137495072660857,0.7275648603695511,0.46687999775896705,-0.27282229881120545,0.5949515690406478,0.0312572435378099,0.222258628030058,-0.03231699482492775
S4 squeeze only + linear trend   | PR ,37,0.4128886387404838,0.12331819336983002,3.3481567273876203,0.0008135099154582548,0.17118941919057828,0.6545878582903893,0.25773143834457535,0.03925727221544343,2.469179278662034
S5 squeeze only + month dummies  | PR ,37,0.15931571620188942,0.12484233855580368,1.276135308300688,0.20190769210126325,-0.08537077304329779,0.40400220544707666,0.7700627412295814,0.02600627188157354,1.3908224381751584
S6 squeeze + trend + month dums  | PR ,37,0.27878059661557986,0.13484059875459903,2.067482636464275,0.03868869867441238,0.01449787731812091,0.5430633159130388,0.8331870837254859,0.022627155636298572,1.8756094446417109
S4 squeeze only + linear trend   | 30+,37,0.2874044001749936,0.1600143836605615,1.79611603407269,0.07247606489079184,-0.026218031281895204,0.6010268316318823,0.11322903419990737,0.04093447328918961,-0.11324078809213171
S5 squeeze only + month dummies  | 30+,37,0.6919318654922961,0.22388765319785645,3.090531593007563,0.001997985480257203,0.2531201251800126,1.1307436058045797,0.4808133847062709,0.03728027055876256,1.5867749075169173
S6 squeeze + trend + month dums  | 30+,37,0.7346783499366971,0.24543820098800015,2.993333340039502,0.0027594817427680773,0.25362831177545236,1.215728388097942,0.48969372061661,0.03775499966285497,1.7602396124546544
