cycle,trust,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const
six_mean_log30 (headline),amex,89,-0.22851444657641323,0.12200308544575951,-1.8730218645003602,0.0610653658041751,-0.46763610193902583,0.010607208786199362,0.12964068689236596,0.13164762707918526,-1.8091953526439206
six_mean_log30 (headline),bofa,89,-0.3117906937076703,0.12581202441217035,-2.478226506285431,0.013203729406156217,-0.5583777323226453,-0.06520365509269527,0.21866867284803926,0.13104131062715088,-2.7764608980390633
six_mean_log30 (headline),chase,89,-0.2687140844291481,0.13328012925986177,-2.0161601427113354,0.04378323271774942,-0.5299383396938239,-0.0074898291644723836,0.1582734156020763,0.13778207164877884,-1.9767461599209286
six_mean_log30 (headline),citi,89,-0.2033390758987339,0.12396059787979753,-1.6403524940716108,0.10093189679058523,-0.44629738516161344,0.039619233364145606,0.08666436637112784,0.14676973464193302,-1.970031257056458
six_mean_log30 (headline),comet,89,-0.37250368348061447,0.11098415637407612,-3.3563681128059155,0.0007897337725626397,-0.5900286345441742,-0.15497873241705473,0.37526051976937236,0.10686472076649399,-2.4740488772388027
six_mean_log30 (headline),synchrony,89,-0.25665085652074154,0.04069231964880663,-6.30710804239611,2.8429747445102294e-10,-0.3364063381088952,-0.1768953749325879,0.47793667181802957,0.059640308321518225,-2.5816460708256916
six_mean_logPR (leave-one-out),amex,89,1.0211889581949556,0.05576902324205525,18.311042561435432,0.0,0.911883680325364,1.1304942360645471,0.874823739781655,0.049925765353252875,0.3331033219883126
six_mean_logPR (leave-one-out),bofa,89,1.1607789236167256,0.02605363747005497,44.55343039722877,0.0,1.1097147321063667,1.2118431151270845,0.9816169550084433,0.02010015166523646,-0.2529296374774677
six_mean_logPR (leave-one-out),chase,89,1.1709110740663522,0.03478346897349415,33.66286079627696,0.0,1.1027367270831867,1.2390854210495177,0.9696844444802536,0.02614808896632772,0.5110468518357004
six_mean_logPR (leave-one-out),citi,89,1.1392115907278575,0.07442325262554618,15.307199706249026,0.0,0.9933446948188815,1.2850784866368334,0.8838198319400922,0.05234645891623744,0.1318759077092942
six_mean_logPR (leave-one-out),comet,89,0.9982043888280945,0.07012135464259085,14.23538369895948,0.0,0.8607690580973836,1.1356397195588055,0.9190795579196575,0.03846041824076602,0.2672491251849006
six_mean_logPR (leave-one-out),synchrony,89,0.4718978760114001,0.03875643585112568,12.17598743661806,0.0,0.3959366569748844,0.5478590950479159,0.6612968012112784,0.048038333760888716,-0.9906106812009721
five-trust log30 (leave-one-out),amex,89,-0.20496054996277538,0.11901130884943818,-1.7221938985821257,0.08503439975232396,-0.4382184309005557,0.028297330975004892,0.09965668931716709,0.13389606568615342,-1.682718461439296
five-trust log30 (leave-one-out),bofa,89,-0.29969783133872824,0.12473158644137501,-2.402742079125154,0.016272660091836144,-0.5441672504267114,-0.055228412250745096,0.21253945289745857,0.1315542889119467,-2.7247184734061434
five-trust log30 (leave-one-out),chase,89,-0.2143310319416479,0.12466724749950177,-1.7192248665192074,0.08557343461650868,-0.4586743490197614,0.03001228513646559,0.11268928984097659,0.14146371217882803,-1.7232844940590666
five-trust log30 (leave-one-out),citi,89,-0.20345221788498385,0.12529556770969064,-1.6237782517285997,0.10442314324435653,-0.44902701995553995,0.04212258418557224,0.08582345067513408,0.14683728515316125,-1.97087830357778
five-trust log30 (leave-one-out),comet,89,-0.40883918886282616,0.11555176869162938,-3.5381473904902907,0.0004029450659488454,-0.6353164956347468,-0.18236188209090548,0.4206729066314183,0.10290744583602884,-2.6503974825891725
five-trust log30 (leave-one-out),synchrony,89,-0.268054926495445,0.04007729174886935,-6.688449114154708,2.255484687907483e-11,-0.34660497554072595,-0.18950487745016403,0.5161011974196739,0.05741899143223962,-2.6679869052405576
