ym,pr_amex,d30_amex,pr_bofa,d30_bofa,pr_chase,d30_chase,pr_citi,d30_citi,pr_comet,d30_comet,pr_synchrony,d30_synchrony,six_mean_log30,six_mean_logPR,regime,log_pr_amex_minus_sync,log_d30_amex_minus_sync
2018-12,0.353547,0.00837279,0.1861,0.01679904,0.3446,0.01173574,0.2723,0.01567196,0.3352,0.02113751,0.205968,0.03103757,-4.133243860223459,-1.293415694715728,,0.5402956157342209,-1.3102112438765245
2019-01,0.357623,0.0089975,0.1872,0.01690191,0.3433,0.01210854,0.2996,0.01644876,0.3269,0.02162073,0.207308,0.0329227,-4.093363705048142,-1.278326979166249,pre_covid,0.5452737487939294,-1.297215628485545
2019-02,0.369639,0.00979268,0.1724,0.01696417,0.3209,0.01250001,0.2478,0.01638417,0.3099,0.02160246,0.189821,0.03350803,-4.071192609254058,-1.3530174595066953,pre_covid,0.6664453308440178,-1.2301499437964845
2019-03,0.351763,0.00948154,0.1902,0.0167485,0.3494,0.01225671,0.2822,0.01622744,0.3335,0.0205601,0.203471,0.03238948,-4.097485509968879,-1.2852496798906052,pre_covid,0.5474341647931962,-1.2284869283854194
2019-04,0.37086,0.00920081,0.1859,0.01618763,0.336,0.0118066,0.2752,0.01605801,0.3366,0.0192196,0.208117,0.03092211,-4.135120706431429,-1.285648862821599,pre_covid,0.5777242113417429,-1.2121799383542369
2019-08,0.361225,0.00962773,0.1979,0.01557965,0.3497,0.01144301,0.2792,0.01533767,0.3474,0.01833935,0.222279,0.02841421,-4.168714878040063,-1.254309095011463,pre_covid,0.4855676833083784,-1.0822418958251614
2019-09,0.351976,0.01022751,0.1859,0.01592306,0.3507,0.01168109,0.2696,0.0153009,0.3328,0.01914159,0.210143,0.03022716,-4.134532482418494,-1.290926548537185,pre_covid,0.5157747400998831,-1.0836597093902878
2019-10,0.352185,0.01047511,0.1968,0.01623126,0.3612,0.0115829,0.2958,0.01593217,0.3483,0.0199827,0.207922,0.03172496,-4.106791639041637,-1.2551407541657698,pre_covid,0.5269935963460957,-1.108101785817972
2019-11,0.360244,0.0105359,0.1882,0.01625503,0.3378,0.01170208,0.2495,0.01592546,0.3345,0.01986165,0.200222,0.03296985,-4.098545144497138,-1.3113780528356906,pre_covid,0.5873548286867747,-1.140805034354849
2019-12,0.37013,0.01011475,0.2026,0.01604564,0.3827,0.01125461,0.2893,0.01558353,0.3603,0.01933324,0.249756,0.02395608,-4.1753432166387645,-1.1998844538943567,pre_covid,0.3933698540160747,-0.8622273993067
2020-01,0.374576,0.01036289,0.2047,0.01608561,0.3754,0.01142667,0.2994,0.01586967,0.351,0.01978095,0.21881,0.02602716,-4.147692606042504,-1.2200714781102089,pre_covid,0.5375909462754022,-0.9209094527162405
2020-02,0.375632,0.01048611,0.1892,0.01576425,0.3425,0.01142715,0.2523,0.01539932,0.332,0.01922322,0.195131,0.02785629,-4.147540376504359,-1.3049034110672888,pre_covid,0.6549388128407744,-0.9770072693824585
2020-03,0.339795,0.01099166,0.1905,0.01581197,0.3618,0.0116451,0.2756,0.01555271,0.3351,0.01933681,0.20551,0.02806715,-4.132149474177038,-1.2864285305562777,,0.5028478000387793,-0.9374630499195122
2020-04,0.32088,0.01166074,0.1718,0.01551611,0.3214,0.01268708,0.2467,0.01691503,0.3093,0.01982413,0.19342,0.02784413,-4.09435273463165,-1.3748497160103843,stimulus,0.5062032311729803,-0.8703945284193475
2020-05,0.296594,0.01127828,0.1707,0.01462273,0.3179,0.01196253,0.2224,0.01591714,0.312,0.01829147,0.186463,0.02579264,-4.155895993800132,-1.412801566295795,stimulus,0.4641313722534366,-0.8272104277383336
2020-06,0.334658,0.01075249,0.1848,0.01300138,0.3361,0.0107269,0.2492,0.0147175,0.3438,0.01627188,0.202035,0.0235154,-4.249575492503305,-1.3216638059232233,stimulus,0.5046681651150164,-0.7825181700121702
2020-07,0.34779,0.00969982,0.2015,0.0115999,0.3701,0.00986699,0.2805,0.01417441,0.3861,0.01345291,0.235232,0.01794458,-4.382718540050401,-1.220354635723156,stimulus,0.39102658815874247,-0.6151807908413973
2020-08,0.351224,0.00858497,0.1997,0.01083706,0.3651,0.00945332,0.2609,0.01320466,0.3795,0.01256111,0.216167,0.01700818,-4.453718532436863,-1.2515128170279868,stimulus,0.48537293944868054,-0.6836814049222895
2020-09,0.369331,0.00794951,0.2043,0.01199614,0.3719,0.00983826,0.2847,0.01361757,0.3842,0.01217107,0.215548,0.01794652,-4.434123110929952,-1.2201401738382833,stimulus,0.5385096383691893,-0.8142859327258263
2020-10,0.370278,0.00723265,0.2164,0.013572,0.3816,0.00995396,0.29,0.01384318,0.4033,0.01195097,0.214857,0.02004105,-4.409259843065003,-1.1952069661765645,stimulus,0.544281384305868,-1.0191771726840186
