spec,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const
R0 headline levels                | PR,89,0.028136409944385182,0.08695657230110887,0.32356852621738386,0.7462647195124978,-0.14229534132918537,0.19856816121795573,0.0038665406789799572,0.10041229671600359,0.7724507181819985
R1 levels + linear trend          | PR,89,0.012145823004882915,0.0320132866445133,0.37939943935636383,0.704391266822876,-0.05059906634004395,0.07489071234980978,0.6578210910788049,0.05919229190733798,0.5644372374274531
R0 headline levels                | 30+,89,0.08129672526690003,0.14954517203304635,0.5436265454891125,0.5866984888660665,-0.21180642829167762,0.37439987882547765,0.01045094557766102,0.17588737549219113,-0.8872788356695561
R1 levels + linear trend          | 30+,89,0.10248892550719947,0.11447026262738089,0.8953323173619109,0.3706094695033406,-0.12186866831301248,0.32684651932741143,0.3823243488663627,0.13976764450577966,-0.611600190878683
R2 first differences              | PR,88,0.5769220395055425,0.17364873783808848,3.322350894617325,0.0008926236397588383,0.23657676469745126,0.9172673143136338,0.10700986537651536,0.07147985653705594,0.003384556542029486
R2 first differences              | 30+,88,-0.5220811351449922,0.18901403880781145,-2.7621288790926357,0.005742580558105281,-0.8925418467029056,-0.15162042358707883,0.11870206925415139,0.06101341748988949,-0.002738899817819195
R3 squeeze window only            | PR,37,0.3207644310276939,0.11024317344883039,2.9096081053633442,0.0036188220937098947,0.10469177982223052,0.5368370822331573,0.13094670073572456,0.041866651637959475,2.102339488180078
R3 squeeze window only            | 30+,37,0.28436093421816133,0.15714595476742085,1.809533911572978,0.07036809669027755,-0.023639479871611913,0.5923613483079346,0.11307699045214348,0.040348915975963726,-0.1253599090211237
R4 drop the stimulus window       | PR,68,-0.055667132048243764,0.10430649905037037,-0.5336880496905729,0.5935573784808754,-0.26010411515300386,0.14876985105651636,0.0157409872953872,0.08706342858304576,0.43933852899432896
R4 drop the stimulus window       | 30+,68,0.20170083818552959,0.11338066317857823,1.7789703511245494,0.0752446229350614,-0.020521179940609313,0.4239228563116685,0.11375598279501009,0.11135133813522925,-0.41548205422889045
