spec,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const,sample,trust
amex,89,1.128441479819019,0.06737541636813323,16.748564100195182,0.0,0.9963880892524671,1.260494870385571,0.8904979013349571,0.08798214759139776,-0.002769749496241943,full panel,amex
bofa,89,0.8774193138897861,0.04914928988666201,17.85212595976687,0.0,0.7810884750863645,0.9737501526932077,0.928879043241035,0.05398177346892678,-0.5161034493134736,full panel,bofa
chase,89,0.7269074026611632,0.0768512659621878,9.458626264124453,0.0,0.5762816880208497,0.8775331173014767,0.7532852684006526,0.09249486894003714,-1.547522560086827,full panel,chase
citi,89,1.0319752471449841,0.05056802201118951,20.407664885856764,0.0,0.9328637444518451,1.1310867498381232,0.9563363469594764,0.04902806223706114,0.14882757609877453,full panel,citi
comet,89,1.1881118019331802,0.046571398727238617,25.51161945750792,0.0,1.0968335369981468,1.2793900668682137,0.9271079093084152,0.07407183708265125,1.0330590966266342,full panel,comet
synchrony,89,1.047144754551946,0.10229405819448194,10.236613670767754,0.0,0.8466520830768565,1.2476374260270358,0.8345692533673735,0.10365837390537207,0.8845090861724069,full panel,synchrony
amex,85,1.0973011923245928,0.06061879485336668,18.101666240295607,0.0,0.9784905366886087,1.2161118479605768,0.8910669098256052,0.08496435266954239,-0.14570937571994932,ex Dec-2019 seasoning,amex
bofa,85,0.8733231682296269,0.050424672810138405,17.319362120958296,0.0,0.7744926248099767,0.972153711649277,0.9253520129227181,0.05493089730307279,-0.5349657357236234,ex Dec-2019 seasoning,bofa
chase,85,0.7043071407758322,0.0828561361513846,8.500361874092324,0.0,0.5419120967400198,0.8667021848116446,0.7411205708000179,0.09218336917739721,-1.6512829522924748,ex Dec-2019 seasoning,chase
citi,85,1.0384599610549132,0.05153161996599351,20.151898227538908,0.0,0.9374598410598847,1.1394600810499418,0.9554654992525141,0.04964970743394872,0.17855089174613117,ex Dec-2019 seasoning,citi
comet,85,1.1987782086266867,0.05153198920775597,23.26279709082647,0.0,1.0977773649310965,1.299779052322277,0.9260175263208388,0.07503775094657072,1.0819774770091308,ex Dec-2019 seasoning,comet
synchrony,85,1.087830328986769,0.09564266923866738,11.373901812298753,0.0,0.9003741404150736,1.2752865175584644,0.8583360266444092,0.09786972084872542,1.0714296949737137,ex Dec-2019 seasoning,synchrony
