unscored_treatment,offset_points,shape,adj_ratio
unscored_fixed,-40,fico_odds,0.9071612014354633
unscored_fixed,-40,fico_fed2007,0.9761635844989968
unscored_fixed,-40,acms2018,0.38203227624106995
unscored_fixed,-40,acms2018_dpd90,0.4325588142391175
unscored_fixed,-20,fico_odds,0.7193392349173594
unscored_fixed,-20,fico_fed2007,0.7600239493609293
unscored_fixed,-20,acms2018,0.3669338545815836
unscored_fixed,-20,acms2018_dpd90,0.4081559543897241
unscored_fixed,0,fico_odds,0.6137313269812692
unscored_fixed,0,fico_fed2007,0.6325507718190545
unscored_fixed,0,acms2018,0.34931449115816543
unscored_fixed,0,acms2018_dpd90,0.3801541890378093
unscored_fixed,20,fico_odds,0.5206468193105308
unscored_fixed,20,fico_fed2007,0.5130915329879904
unscored_fixed,20,acms2018,0.32983067027878465
unscored_fixed,20,acms2018_dpd90,0.3504791113987947
unscored_fixed,40,fico_odds,0.4267761883404683
unscored_fixed,40,fico_fed2007,0.4293108952572454
unscored_fixed,40,acms2018,0.30962869210508165
unscored_fixed,40,acms2018_dpd90,0.31986592084713916
previous_run,-40,fico_odds,0.9132208240440031
previous_run,-40,fico_fed2007,0.9836392312218635
previous_run,-40,acms2018,0.3823470208274429
previous_run,-40,acms2018_dpd90,0.4330621951097297
previous_run,-20,fico_odds,0.7259560004500404
previous_run,-20,fico_fed2007,0.7681407387071852
previous_run,-20,acms2018,0.3672933861486769
previous_run,-20,acms2018_dpd90,0.40873172232424543
previous_run,0,fico_odds,0.6203414478155113
previous_run,0,fico_fed2007,0.6407038264813818
previous_run,0,acms2018,0.34972628766445185
previous_run,0,acms2018_dpd90,0.3808130195965726
previous_run,20,fico_odds,0.5272531359874955
previous_run,20,fico_fed2007,0.5212998137956624
previous_run,20,acms2018,0.33030026233017923
previous_run,20,acms2018_dpd90,0.35122596818705826
previous_run,40,fico_odds,0.43341396500256285
previous_run,40,fico_fed2007,0.43739423793408577
previous_run,40,acms2018,0.31015820999689714
previous_run,40,acms2018_dpd90,0.32070358662232484
